TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),50.024,50.459,51.742,50.278,51.317,52.152,52.691,53.559,55.381,55.026,56.284,55.769,56.256,56.878,56.854,57.819,58.257,57.219,58.370,57.175,55.766,56.359,54.918,53.939,54.421,56.064,56.160,57.548,58.138,60.481,57.458,55.533
Euro area – 20 countries (from 2023),57.018,57.753,59.318,57.565,58.820,59.561,59.719,60.787,62.655,62.576,63.997,63.127,63.757,63.945,64.056,64.948,65.324,63.516,64.374,63.178,61.700,62.345,60.956,59.810,60.053,62.069,61.852,63.025,63.290,65.147,62.023,60.420
Belgium,75.267,77.077,78.167,76.775,79.863,80.952,80.543,78.419,80.851,77.028,78.164,80.693,77.667,79.704,79.774,79.912,79.485,76.882,80.846,75.921,78.553,76.464,76.563,77.777,80.102,84.145,75.891,75.257,82.968,77.592,78.043,70.817
Bulgaria,63.429,63.208,56.599,58.613,55.346,57.318,56.403,51.221,50.259,48.593,46.409,46.199,46.917,46.650,48.340,47.343,46.223,51.233,52.154,45.393,40.146,36.732,36.859,38.313,35.171,36.446,38.472,39.362,36.325,38.109,37.884,36.137
Czechia,15.179,15.609,15.701,15.836,18.641,20.454,24.186,24.032,25.024,24.971,22.704,25.012,26.204,24.929,25.338,27.846,27.498,24.989,27.736,26.866,25.379,28.831,25.413,27.580,30.227,32.089,32.800,37.162,36.879,40.807,38.763,39.996
Denmark,45.496,39.612,36.956,27.272,27.210,33.547,22.029,15.772,5.601,-16.882,-35.918,-28.630,-42.287,-31.541,-47.120,-50.618,-35.492,-24.247,-21.129,-18.800,-16.235,-6.315,-3.176,12.312,12.225,13.077,13.568,11.343,22.733,38.718,45.065,32.562
Germany (until 1990 former territory of the FRG),46.527,51.568,54.514,55.429,56.686,56.749,58.669,59.336,60.969,59.243,59.441,60.891,60.126,60.540,61.158,60.740,60.981,58.516,60.769,61.103,59.992,61.801,61.215,62.411,61.779,62.132,63.752,63.959,63.478,67.055,63.676,63.492
Estonia,41.000,38.896,35.564,36.799,34.485,32.967,30.356,30.431,37.701,35.152,33.984,33.740,32.106,29.768,30.108,26.879,30.031,24.291,27.215,27.171,14.680,13.646,20.647,14.522,11.562,11.181,8.069,4.584,1.208,4.725,10.525,1.412
Ireland,69.010,67.024,65.885,66.932,64.931,71.312,71.667,75.964,80.348,85.546,85.433,89.605,88.086,90.265,91.614,89.655,90.758,87.563,90.010,87.821,87.484,90.352,83.710,91.624,86.150,88.777,69.082,66.870,67.556,68.631,71.153,76.963
Greece,61.852,63.096,68.830,66.386,58.450,66.465,67.858,67.206,69.756,65.670,69.055,68.495,71.063,67.088,72.259,68.203,71.419,70.858,72.915,67.341,68.584,64.677,65.889,61.750,65.455,71.047,72.911,71.282,70.681,74.103,81.415,73.819
Spain,62.728,63.286,66.213,65.318,67.598,71.893,70.628,71.517,74.514,76.749,76.797,74.797,78.642,76.738,77.652,81.534,81.505,79.560,81.605,79.549,77.003,76.012,72.798,69.997,72.557,72.741,71.486,73.886,73.613,75.034,67.892,69.094
France,52.196,52.272,51.824,47.734,47.421,47.707,48.231,48.767,50.983,51.302,51.275,50.429,50.817,50.665,50.860,51.698,51.518,50.420,50.748,50.652,48.668,49.049,48.199,48.013,46.239,45.929,47.394,48.793,46.840,47.548,44.402,44.174
Croatia,40.076,30.738,35.994,33.693,36.940,35.389,40.808,43.284,46.501,48.924,48.345,46.556,54.450,50.697,51.876,52.595,49.170,51.805,54.755,46.044,46.696,49.641,49.847,47.436,44.206,48.791,48.430,53.157,52.695,56.216,53.564,54.539
Italy,84.401,81.909,84.041,80.458,80.774,82.027,81.952,80.728,81.836,82.957,86.523,83.244,85.589,82.995,84.360,83.348,85.867,83.002,82.804,80.777,82.571,81.353,79.109,76.736,75.811,77.030,77.653,76.979,76.338,77.484,73.454,73.537
Cyprus,98.295,100.745,99.859,103.636,97.006,100.480,98.175,97.716,96.799,101.907,98.632,96.075,100.557,96.074,95.457,100.703,102.508,95.894,97.427,96.130,100.636,92.263,96.748,96.071,93.086,97.319,95.841,95.927,92.491,92.792,93.179,89.524
Latvia,88.963,85.583,87.508,71.172,72.361,70.534,73.982,60.381,60.793,55.925,61.010,59.372,58.760,63.235,69.422,63.841,66.707,62.478,58.825,60.411,45.545,59.863,56.388,55.883,40.592,51.179,47.152,44.053,44.313,43.913,45.481,38.333
