"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","ENRG","AGRWTH","A","1984",7.271815,
"AUT","CPI","ENRG","AGRWTH","A","1985",3.800841,
"AUT","CPI","ENRG","AGRWTH","A","1986",-11.66509,
"AUT","CPI","ENRG","AGRWTH","A","1987",-4.966094,
"AUT","CPI","ENRG","AGRWTH","A","1988",-2.714738,
"AUT","CPI","ENRG","AGRWTH","A","1989",2.321734,
"AUT","CPI","ENRG","AGRWTH","A","1990",4.198555,
"AUT","CPI","ENRG","AGRWTH","A","1991",0.01551752,
"AUT","CPI","ENRG","AGRWTH","A","1992",3.020273,
"AUT","CPI","ENRG","AGRWTH","A","1993",-0.6777107,
"AUT","CPI","ENRG","AGRWTH","A","1994",1.420268,
"AUT","CPI","ENRG","AGRWTH","A","1995",3.712748,
"AUT","CPI","ENRG","AGRWTH","A","1996",6.376435,
"AUT","CPI","ENRG","AGRWTH","A","1997",2.994851,
"AUT","CPI","ENRG","AGRWTH","A","1998",-3.271786,
"AUT","CPI","ENRG","AGRWTH","A","1999",0.4171392,
"AUT","CPI","ENRG","AGRWTH","A","2000",10.69477,
"AUT","CPI","ENRG","AGRWTH","A","2001",0.5333645,
"AUT","CPI","ENRG","AGRWTH","A","2002",-2.383262,
"AUT","CPI","ENRG","AGRWTH","A","2003",0.9485555,
"AUT","CPI","ENRG","AGRWTH","A","2004",6.401682,
"AUT","CPI","ENRG","AGRWTH","A","2005",9.762172,
"AUT","CPI","ENRG","AGRWTH","A","2006",6.242187,
"AUT","CPI","ENRG","AGRWTH","A","2007",4.165359,
"AUT","CPI","ENRG","AGRWTH","A","2008",10.28692,
"AUT","CPI","ENRG","AGRWTH","A","2009",-9.491294,
"AUT","CPI","ENRG","AGRWTH","A","2010",7.589589,
"AUT","CPI","ENRG","AGRWTH","A","2011",10.93313,
"AUT","CPI","ENRG","AGRWTH","A","2012",4.881712,
"AUT","CPI","ENRG","AGRWTH","A","2013",-0.802005,
"AUT","CPI","ENRG","AGRWTH","A","2014",-2.028441,
"AUT","CPI","ENRG","AGRWTH","A","2015",-7.295769,
"AUT","CPI","ENRG","AGRWTH","A","2016",-4.433333,
"AUT","CPI","ENRG","AGRWTH","A","2017",2.520056,
"AUT","CPI","ENRG","AGRWTH","A","2018",5.273454,
"AUT","CPI","ENRG","AGRWTH","A","2019",0.8968248,
"AUT","CPI","ENRG","AGRWTH","A","2020",-5.515243,
"AUT","CPI","ENRG","AGRWTH","A","2021",12.25,
"AUT","CPI","ENRG","AGRWTH","A","2022",39.24276,
"BEL","CPI","ENRG","AGRWTH","A","1984",5.689509,
"BEL","CPI","ENRG","AGRWTH","A","1985",5.393486,
"BEL","CPI","ENRG","AGRWTH","A","1986",-19.06161,
"BEL","CPI","ENRG","AGRWTH","A","1987",-7.256549,
"BEL","CPI","ENRG","AGRWTH","A","1988",-3.488738,
"BEL","CPI","ENRG","AGRWTH","A","1989",6.017118,
"BEL","CPI","ENRG","AGRWTH","A","1990",6.345316,
"BEL","CPI","ENRG","AGRWTH","A","1991",2.467174,
"BEL","CPI","ENRG","AGRWTH","A","1992",-1.209954,
"BEL","CPI","ENRG","AGRWTH","A","1993",3.484002,
"BEL","CPI","ENRG","AGRWTH","A","1994",0.7703469,
"BEL","CPI","ENRG","AGRWTH","A","1995",-0.6043271,
"BEL","CPI","ENRG","AGRWTH","A","1996",5.621116,
"BEL","CPI","ENRG","AGRWTH","A","1997",3.726341,
"BEL","CPI","ENRG","AGRWTH","A","1998",-4.258694,
"BEL","CPI","ENRG","AGRWTH","A","1999",1.953863,
"BEL","CPI","ENRG","AGRWTH","A","2000",14.42789,
"BEL","CPI","ENRG","AGRWTH","A","2001",0.5900396,
"BEL","CPI","ENRG","AGRWTH","A","2002",-3.122416,
"BEL","CPI","ENRG","AGRWTH","A","2003",-0.1240471,
"BEL","CPI","ENRG","AGRWTH","A","2004",6.54886,
"BEL","CPI","ENRG","AGRWTH","A","2005",11.50089,
"BEL","CPI","ENRG","AGRWTH","A","2006",7.751405,
"BEL","CPI","ENRG","AGRWTH","A","2007",0.1352189,
"BEL","CPI","ENRG","AGRWTH","A","2008",20.47375,
"BEL","CPI","ENRG","AGRWTH","A","2009",-13.86899,
"BEL","CPI","ENRG","AGRWTH","A","2010",9.052065,
"BEL","CPI","ENRG","AGRWTH","A","2011",16.88578,
"BEL","CPI","ENRG","AGRWTH","A","2012",6.142694,
"BEL","CPI","ENRG","AGRWTH","A","2013",-3.813783,
"BEL","CPI","ENRG","AGRWTH","A","2014",-6.193333,
"BEL","CPI","ENRG","AGRWTH","A","2015",-5.838249,
"BEL","CPI","ENRG","AGRWTH","A","2016",0.7330465,
"BEL","CPI","ENRG","AGRWTH","A","2017",8.222116,
"BEL","CPI","ENRG","AGRWTH","A","2018",7.06089,
"BEL","CPI","ENRG","AGRWTH","A","2019",0.8673441,
"BEL","CPI","ENRG","AGRWTH","A","2020",-6.32533,
"BEL","CPI","ENRG","AGRWTH","A","2021",12.33115,
"BEL","CPI","ENRG","AGRWTH","A","2022",52.27981,
"CZE","CPI","ENRG","AGRWTH","A","1996",7.221207,
"CZE","CPI","ENRG","AGRWTH","A","1997",12.16965,
"CZE","CPI","ENRG","AGRWTH","A","1998",16.35949,
"CZE","CPI","ENRG","AGRWTH","A","1999",6.368387,
"CZE","CPI","ENRG","AGRWTH","A","2000",16.45686,
"CZE","CPI","ENRG","AGRWTH","A","2001",0.1581861,
"CZE","CPI","ENRG","AGRWTH","A","2002",0.2895499,
"CZE","CPI","ENRG","AGRWTH","A","2003",-0.3412074,
"CZE","CPI","ENRG","AGRWTH","A","2004",3.884646,
"CZE","CPI","ENRG","AGRWTH","A","2005",6.528077,
"CZE","CPI","ENRG","AGRWTH","A","2006",9.067111,
"CZE","CPI","ENRG","AGRWTH","A","2007",3.687541,
"CZE","CPI","ENRG","AGRWTH","A","2008",10.19571,
"CZE","CPI","ENRG","AGRWTH","A","2009",1.508641,
"CZE","CPI","ENRG","AGRWTH","A","2010",4.562129,
"CZE","CPI","ENRG","AGRWTH","A","2011",7.142857,
"CZE","CPI","ENRG","AGRWTH","A","2012",7.162049,
"CZE","CPI","ENRG","AGRWTH","A","2013",0.6894931,
"CZE","CPI","ENRG","AGRWTH","A","2014",-3.672866,
"CZE","CPI","ENRG","AGRWTH","A","2015",-3.04548,
"CZE","CPI","ENRG","AGRWTH","A","2016",-2.557907,
"CZE","CPI","ENRG","AGRWTH","A","2017",1.000427,
"CZE","CPI","ENRG","AGRWTH","A","2018",3.140874,
"CZE","CPI","ENRG","AGRWTH","A","2019",5.056226,
"CZE","CPI","ENRG","AGRWTH","A","2020",-1.359481,
"CZE","CPI","ENRG","AGRWTH","A","2021",1.394059,
"CZE","CPI","ENRG","AGRWTH","A","2022",30.92727,
"DNK","CPI","ENRG","AGRWTH","A","1984",0.233674,
