"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","FOOD","AGRWTH","A","1986",1.985895,
"AUT","CPI","FOOD","AGRWTH","A","1987",0.243858,
"AUT","CPI","FOOD","AGRWTH","A","1988",0.1234479,
"AUT","CPI","FOOD","AGRWTH","A","1989",0.7796636,
"AUT","CPI","FOOD","AGRWTH","A","1990",2.821057,
"AUT","CPI","FOOD","AGRWTH","A","1991",4.08399,
"AUT","CPI","FOOD","AGRWTH","A","1992",3.705198,
"AUT","CPI","FOOD","AGRWTH","A","1993",2.272727,
"AUT","CPI","FOOD","AGRWTH","A","1994",1.382153,
"AUT","CPI","FOOD","AGRWTH","A","1995",-1.722898,
"AUT","CPI","FOOD","AGRWTH","A","1996",0.1336303,
"AUT","CPI","FOOD","AGRWTH","A","1997",1.534697,
"AUT","CPI","FOOD","AGRWTH","A","1998",1.93084,
"AUT","CPI","FOOD","AGRWTH","A","1999",-0.6324449,
"AUT","CPI","FOOD","AGRWTH","A","2000",0.6457393,
"AUT","CPI","FOOD","AGRWTH","A","2001",3.641667,
"AUT","CPI","FOOD","AGRWTH","A","2002",1.391011,
"AUT","CPI","FOOD","AGRWTH","A","2003",1.768438,
"AUT","CPI","FOOD","AGRWTH","A","2004",1.916933,
"AUT","CPI","FOOD","AGRWTH","A","2005",2.084429,
"AUT","CPI","FOOD","AGRWTH","A","2006",1.84136,
"AUT","CPI","FOOD","AGRWTH","A","2007",4.188824,
"AUT","CPI","FOOD","AGRWTH","A","2008",6.297605,
"AUT","CPI","FOOD","AGRWTH","A","2009",0.2068405,
"AUT","CPI","FOOD","AGRWTH","A","2010",0.4791743,
"AUT","CPI","FOOD","AGRWTH","A","2011",4.2696,
"AUT","CPI","FOOD","AGRWTH","A","2012",3.222196,
"AUT","CPI","FOOD","AGRWTH","A","2013",3.462432,
"AUT","CPI","FOOD","AGRWTH","A","2014",1.961518,
"AUT","CPI","FOOD","AGRWTH","A","2015",0.8257796,
"AUT","CPI","FOOD","AGRWTH","A","2016",0.7333333,
"AUT","CPI","FOOD","AGRWTH","A","2017",2.365983,
"AUT","CPI","FOOD","AGRWTH","A","2018",1.519315,
"AUT","CPI","FOOD","AGRWTH","A","2019",1.018946,
"AUT","CPI","FOOD","AGRWTH","A","2020",2.331635,
"AUT","CPI","FOOD","AGRWTH","A","2021",0.783268,
"AUT","CPI","FOOD","AGRWTH","A","2022",10.74824,
"BEL","CPI","FOOD","AGRWTH","A","1991",1.567388,
"BEL","CPI","FOOD","AGRWTH","A","1992",-0.146061,
"BEL","CPI","FOOD","AGRWTH","A","1993",-0.6204019,
"BEL","CPI","FOOD","AGRWTH","A","1994",2.016101,
"BEL","CPI","FOOD","AGRWTH","A","1995",1.280284,
"BEL","CPI","FOOD","AGRWTH","A","1996",1.361824,
"BEL","CPI","FOOD","AGRWTH","A","1997",2.260362,
"BEL","CPI","FOOD","AGRWTH","A","1998",1.938696,
"BEL","CPI","FOOD","AGRWTH","A","1999",0.006460827,
"BEL","CPI","FOOD","AGRWTH","A","2000",0.8626872,
"BEL","CPI","FOOD","AGRWTH","A","2001",4.630305,
"BEL","CPI","FOOD","AGRWTH","A","2002",2.358835,
"BEL","CPI","FOOD","AGRWTH","A","2003",2.053307,
"BEL","CPI","FOOD","AGRWTH","A","2004",1.258395,
"BEL","CPI","FOOD","AGRWTH","A","2005",1.765368,
"BEL","CPI","FOOD","AGRWTH","A","2006",2.556108,
"BEL","CPI","FOOD","AGRWTH","A","2007",3.906927,
"BEL","CPI","FOOD","AGRWTH","A","2008",6.075796,
"BEL","CPI","FOOD","AGRWTH","A","2009",0.8468629,
"BEL","CPI","FOOD","AGRWTH","A","2010",1.660945,
"BEL","CPI","FOOD","AGRWTH","A","2011",2.720884,
"BEL","CPI","FOOD","AGRWTH","A","2012",3.100204,
"BEL","CPI","FOOD","AGRWTH","A","2013",3.421529,
"BEL","CPI","FOOD","AGRWTH","A","2014",-0.3758333,
"BEL","CPI","FOOD","AGRWTH","A","2015",1.202018,
"BEL","CPI","FOOD","AGRWTH","A","2016",2.240755,
"BEL","CPI","FOOD","AGRWTH","A","2017",1.260338,
"BEL","CPI","FOOD","AGRWTH","A","2018",2.159577,
"BEL","CPI","FOOD","AGRWTH","A","2019",0.7736732,
"BEL","CPI","FOOD","AGRWTH","A","2020",2.881715,
"BEL","CPI","FOOD","AGRWTH","A","2021",-0.3942201,
"BEL","CPI","FOOD","AGRWTH","A","2022",8.794951,
"CZE","CPI","FOOD","AGRWTH","A","1995",11.58522,
"CZE","CPI","FOOD","AGRWTH","A","1996",7.973337,
"CZE","CPI","FOOD","AGRWTH","A","1997",4.392734,
"CZE","CPI","FOOD","AGRWTH","A","1998",4.423974,
"CZE","CPI","FOOD","AGRWTH","A","1999",-5.532564,
"CZE","CPI","FOOD","AGRWTH","A","2000",0.9914687,
"CZE","CPI","FOOD","AGRWTH","A","2001",5.068493,
"CZE","CPI","FOOD","AGRWTH","A","2002",-1.944807,
"CZE","CPI","FOOD","AGRWTH","A","2003",-2.182826,
"CZE","CPI","FOOD","AGRWTH","A","2004",3.409606,
"CZE","CPI","FOOD","AGRWTH","A","2005",-0.2519444,
"CZE","CPI","FOOD","AGRWTH","A","2006",0.8565781,
"CZE","CPI","FOOD","AGRWTH","A","2007",4.736498,
"CZE","CPI","FOOD","AGRWTH","A","2008",8.108951,
"CZE","CPI","FOOD","AGRWTH","A","2009",-3.971536,
"CZE","CPI","FOOD","AGRWTH","A","2010",1.472061,
"CZE","CPI","FOOD","AGRWTH","A","2011",4.628442,
"CZE","CPI","FOOD","AGRWTH","A","2012",6.91379,
"CZE","CPI","FOOD","AGRWTH","A","2013",4.913983,
"CZE","CPI","FOOD","AGRWTH","A","2014",2.018163,
"CZE","CPI","FOOD","AGRWTH","A","2015",-1.104517,
"CZE","CPI","FOOD","AGRWTH","A","2016",-0.9334889,
"CZE","CPI","FOOD","AGRWTH","A","2017",5.182568,
"CZE","CPI","FOOD","AGRWTH","A","2018",1.31179,
"CZE","CPI","FOOD","AGRWTH","A","2019",2.818569,
"CZE","CPI","FOOD","AGRWTH","A","2020",4.538125,
"CZE","CPI","FOOD","AGRWTH","A","2021",0.8006464,
"CZE","CPI","FOOD","AGRWTH","A","2022",16.6946,
"DNK","CPI","FOOD","AGRWTH","A","1986",2.030457,
"DNK","CPI","FOOD","AGRWTH","A","1987",0.8844665,
"DNK","CPI","FOOD","AGRWTH","A","1988",3.616438,
"DNK","CPI","FOOD","AGRWTH","A","1989",4.177684,
"DNK","CPI","FOOD","AGRWTH","A","1990",0.2538071,
"DNK","CPI","FOOD","AGRWTH","A","1991",0.6582279,
"DNK","CPI","FOOD","AGRWTH","A","1992",1.725352,
"DNK","CPI","FOOD","AGRWTH","A","1993",-0.2966919,
"DNK","CPI","FOOD","AGRWTH","A","1994",2.931111,
"DNK","CPI","FOOD","AGRWTH","A","1995",3.059651,
"DNK","CPI","FOOD","AGRWTH","A","1996",1.664407,
"DNK","CPI","FOOD","AGRWTH","A","1997",3.490458,
"DNK","CPI","FOOD","AGRWTH","A","1998",2.070743,
"DNK","CPI","FOOD","AGRWTH","A","1999",0.6660862,
"DNK","CPI","FOOD","AGRWTH","A","2000",2.540664,
"DNK","CPI","FOOD","AGRWTH","A","2001",3.855773,
"DNK","CPI","FOOD","AGRWTH","A","2002",2.183121,
"DNK","CPI","FOOD","AGRWTH","A","2003",1.42432,
"DNK","CPI","FOOD","AGRWTH","A","2004",-1.016558,
"DNK","CPI","FOOD","AGRWTH","A","2005",0.6458443,
"DNK","CPI","FOOD","AGRWTH","A","2006",2.724595,
"DNK","CPI","FOOD","AGRWTH","A","2007",4.464926,
"DNK","CPI","FOOD","AGRWTH","A","2008",7.567885,
"DNK","CPI","FOOD","AGRWTH","A","2009",-0.09113278,
"DNK","CPI","FOOD","AGRWTH","A","2010",0.3739852,
"DNK","CPI","FOOD","AGRWTH","A","2011",3.962196,
"DNK","CPI","FOOD","AGRWTH","A","2012",4.291958,
"DNK","CPI","FOOD","AGRWTH","A","2013",0.4274579,
"DNK","CPI","FOOD","AGRWTH","A","2014",-0.8679686,
"DNK","CPI","FOOD","AGRWTH","A","2015",1.035528,
"DNK","CPI","FOOD","AGRWTH","A","2016",0.09999166,
