"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1987",3.634682,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1988",2.223695,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1989",3.908113,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1990",3.836946,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1991",3.901906,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1992",3.829977,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1993",1.947885,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1994",2.179941,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1995",2.590812,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1996",1.644879,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1997",1.431378,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1998",2.236873,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","1999",1.297358,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2000",5.674074,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2001",4.987663,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2002",6.596142,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2003",3.810656,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2004",2.141196,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2005",2.165496,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2006",4.037079,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2007",5.217397,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2008",3.244488,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2009",-4.303612,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2010",-1.395236,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2011",1.837082,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2012",0.868212,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2013",0.506761,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2014",0.7576957,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2015",1.012227,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2016",0.9026991,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2017",0.3213623,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.1742605,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.135042,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.2301742,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2021",1.803567,
"IRL","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.698297,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1987",1.002084,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1988",1.82836,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1989",3.187394,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1990",3.122243,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1991",3.391084,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1992",4.281687,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1993",4.231898,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1994",2.626404,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1995",1.991761,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1996",0.9385236,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1997",1.263482,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1998",1.089688,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","1999",0.8823159,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2000",2.219655,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2001",2.722034,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2002",1.88627,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2003",1.932695,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2004",1.928468,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2005",1.81621,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2006",2.06,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2007",2.119668,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2008",1.991717,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2009",2.016322,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2010",1.577641,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2011",2.387581,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2012",2.09103,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2013",2.075704,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2014",1.30674,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2015",1.606256,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2016",0.9516587,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2017",1.366979,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.8827434,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.798471,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.290133,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2021",1.567271,
"LUX","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.01264,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","1996",21.46159,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","1997",16.16193,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","1998",13.84688,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","1999",10.08005,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2000",9.22942,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2001",5.637408,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2002",2.914409,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2003",0.7140132,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2004",1.814153,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2005",1.30114,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2006",0.05833333,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2007",1.058333,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2008",2.35,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2009",2.683333,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2010",1.6,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2011",2.4,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2012",2.175,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2013",1.175,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2014",0.6416667,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2015",0.325,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2016",-0.2416667,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2017",0.725,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.725,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.95,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2020",3.883333,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2021",4.1,
"POL","CPI","TOT_FOODENRG","AGRWTH","A","2022",9.066667,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1987",3.971625,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1988",3.127962,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1989",3.18837,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1990",3.074471,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1991",3.407498,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1992",3.162793,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1993",2.637858,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1994",1.856886,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1995",1.905299,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1996",2.049877,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1997",0.9525385,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1998",0.7898768,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","1999",0.5776343,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2000",0.5071792,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2001",1.18479,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2002",2.120125,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2003",2.043296,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2004",2.234885,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2005",1.255149,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2006",1.163713,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2007",1.469273,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2008",1.544703,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2009",1.319244,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2010",0.9021641,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2011",1.099049,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2012",1.396953,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2013",0.8143961,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2014",0.9250727,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2015",0.483614,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2016",0.4158603,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2017",0.5213681,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.05519,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2019",0.7847481,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.8851095,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2021",0.9562704,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2022",2.779273,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1987",10.96223,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1988",12.41226,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1989",14.58574,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1990",13.28723,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1991",14.68438,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1992",12.41221,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1993",10.5557,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1994",6.609569,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1995",5.309661,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1996",3.693491,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1997",5.317003,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1998",2.332813,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","1999",2.796002,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2000",2.843014,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2001",3.543171,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2002",4.761362,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2003",3.360659,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2004",2.514371,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2005",2.683104,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2006",2.917926,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2007",2.353314,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2008",1.988089,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2009",1.124839,
"PRT","CPI","TOT_FOODENRG","AGRWTH","A","2010",0.991598,
