"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","A","1984",5.663189,
"AUT","CPI","TOT","AGRWTH","A","1985",3.189511,
"AUT","CPI","TOT","AGRWTH","A","1986",1.705446,
"AUT","CPI","TOT","AGRWTH","A","1987",1.401955,
"AUT","CPI","TOT","AGRWTH","A","1988",1.91572,
"AUT","CPI","TOT","AGRWTH","A","1989",2.568347,
"AUT","CPI","TOT","AGRWTH","A","1990",3.261872,
"AUT","CPI","TOT","AGRWTH","A","1991",3.337426,
"AUT","CPI","TOT","AGRWTH","A","1992",4.020847,
"AUT","CPI","TOT","AGRWTH","A","1993",3.631786,
"AUT","CPI","TOT","AGRWTH","A","1994",2.953407,
"AUT","CPI","TOT","AGRWTH","A","1995",2.243364,
"AUT","CPI","TOT","AGRWTH","A","1996",1.860974,
"AUT","CPI","TOT","AGRWTH","A","1997",1.305983,
"AUT","CPI","TOT","AGRWTH","A","1998",0.9224669,
"AUT","CPI","TOT","AGRWTH","A","1999",0.5689865,
"AUT","CPI","TOT","AGRWTH","A","2000",2.344868,
"AUT","CPI","TOT","AGRWTH","A","2001",2.65,
"AUT","CPI","TOT","AGRWTH","A","2002",1.810359,
"AUT","CPI","TOT","AGRWTH","A","2003",1.355554,
"AUT","CPI","TOT","AGRWTH","A","2004",2.061207,
"AUT","CPI","TOT","AGRWTH","A","2005",2.299138,
"AUT","CPI","TOT","AGRWTH","A","2006",1.441547,
"AUT","CPI","TOT","AGRWTH","A","2007",2.168556,
"AUT","CPI","TOT","AGRWTH","A","2008",3.215951,
"AUT","CPI","TOT","AGRWTH","A","2009",0.5063094,
"AUT","CPI","TOT","AGRWTH","A","2010",1.813532,
"AUT","CPI","TOT","AGRWTH","A","2011",3.286583,
"AUT","CPI","TOT","AGRWTH","A","2012",2.485675,
"AUT","CPI","TOT","AGRWTH","A","2013",2.000158,
"AUT","CPI","TOT","AGRWTH","A","2014",1.605806,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"AUT","CPI","TOT","AGRWTH","A","2016",0.8915924,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"BEL","CPI","TOT","AGRWTH","A","1984",6.341776,
"BEL","CPI","TOT","AGRWTH","A","1985",4.86873,
"BEL","CPI","TOT","AGRWTH","A","1986",1.294371,
"BEL","CPI","TOT","AGRWTH","A","1987",1.55338,
"BEL","CPI","TOT","AGRWTH","A","1988",1.160936,
"BEL","CPI","TOT","AGRWTH","A","1989",3.107053,
"BEL","CPI","TOT","AGRWTH","A","1990",3.44831,
"BEL","CPI","TOT","AGRWTH","A","1991",3.215311,
"BEL","CPI","TOT","AGRWTH","A","1992",2.427956,
"BEL","CPI","TOT","AGRWTH","A","1993",2.754426,
"BEL","CPI","TOT","AGRWTH","A","1994",2.377545,
"BEL","CPI","TOT","AGRWTH","A","1995",1.467961,
"BEL","CPI","TOT","AGRWTH","A","1996",2.077025,
"BEL","CPI","TOT","AGRWTH","A","1997",1.62816,
