"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","ENRG","IDX2015","A","1988",51.31253,
"AUT","CPI","ENRG","IDX2015","A","1989",52.50387,
"AUT","CPI","ENRG","IDX2015","A","1990",54.70827,
"AUT","CPI","ENRG","IDX2015","A","1991",54.71676,
"AUT","CPI","ENRG","IDX2015","A","1992",56.36936,
"AUT","CPI","ENRG","IDX2015","A","1993",55.98734,
"AUT","CPI","ENRG","IDX2015","A","1994",56.78251,
"AUT","CPI","ENRG","IDX2015","A","1995",58.8907,
"AUT","CPI","ENRG","IDX2015","A","1996",62.64583,
"AUT","CPI","ENRG","IDX2015","A","1997",64.52197,
"AUT","CPI","ENRG","IDX2015","A","1998",62.41095,
"AUT","CPI","ENRG","IDX2015","A","1999",62.6713,
"AUT","CPI","ENRG","IDX2015","A","2000",69.37384,
"AUT","CPI","ENRG","IDX2015","A","2001",69.74386,
"AUT","CPI","ENRG","IDX2015","A","2002",68.08168,
"AUT","CPI","ENRG","IDX2015","A","2003",68.72747,
"AUT","CPI","ENRG","IDX2015","A","2004",73.12719,
"AUT","CPI","ENRG","IDX2015","A","2005",80.26599,
"AUT","CPI","ENRG","IDX2015","A","2006",85.27634,
"AUT","CPI","ENRG","IDX2015","A","2007",88.82841,
"AUT","CPI","ENRG","IDX2015","A","2008",97.96612,
"AUT","CPI","ENRG","IDX2015","A","2009",88.66786,
"AUT","CPI","ENRG","IDX2015","A","2010",95.39739,
"AUT","CPI","ENRG","IDX2015","A","2011",105.8273,
"AUT","CPI","ENRG","IDX2015","A","2012",110.9935,
"AUT","CPI","ENRG","IDX2015","A","2013",110.1033,
"AUT","CPI","ENRG","IDX2015","A","2014",107.8699,
"AUT","CPI","ENRG","IDX2015","A","2015",100,
"AUT","CPI","ENRG","IDX2015","A","2016",95.56667,
"AUT","CPI","ENRG","IDX2015","A","2017",97.975,
"AUT","CPI","ENRG","IDX2015","A","2018",103.1417,
"AUT","CPI","ENRG","IDX2015","A","2019",104.0667,
"AUT","CPI","ENRG","IDX2015","A","2020",98.32714,
"AUT","CPI","ENRG","IDX2015","A","2021",110.3722,
"AUT","CPI","ENRG","IDX2015","A","2022",153.6853,
"BEL","CPI","ENRG","IDX2015","A","1988",46.42208,
"BEL","CPI","ENRG","IDX2015","A","1989",49.21535,
"BEL","CPI","ENRG","IDX2015","A","1990",52.33823,
"BEL","CPI","ENRG","IDX2015","A","1991",53.6295,
"BEL","CPI","ENRG","IDX2015","A","1992",52.98061,
