"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","FOOD","IDX2015","A","1988",58.52352,
"AUT","CPI","FOOD","IDX2015","A","1989",58.97981,
"AUT","CPI","FOOD","IDX2015","A","1990",60.64366,
"AUT","CPI","FOOD","IDX2015","A","1991",63.12034,
"AUT","CPI","FOOD","IDX2015","A","1992",65.45908,
"AUT","CPI","FOOD","IDX2015","A","1993",66.94678,
"AUT","CPI","FOOD","IDX2015","A","1994",67.87209,
"AUT","CPI","FOOD","IDX2015","A","1995",66.70272,
"AUT","CPI","FOOD","IDX2015","A","1996",66.79185,
"AUT","CPI","FOOD","IDX2015","A","1997",67.81691,
"AUT","CPI","FOOD","IDX2015","A","1998",69.12635,
"AUT","CPI","FOOD","IDX2015","A","1999",68.68916,
"AUT","CPI","FOOD","IDX2015","A","2000",69.13271,
"AUT","CPI","FOOD","IDX2015","A","2001",71.6503,
"AUT","CPI","FOOD","IDX2015","A","2002",72.64696,
"AUT","CPI","FOOD","IDX2015","A","2003",73.93168,
"AUT","CPI","FOOD","IDX2015","A","2004",75.3489,
"AUT","CPI","FOOD","IDX2015","A","2005",76.91949,
"AUT","CPI","FOOD","IDX2015","A","2006",78.33585,
"AUT","CPI","FOOD","IDX2015","A","2007",81.61721,
"AUT","CPI","FOOD","IDX2015","A","2008",86.75713,
"AUT","CPI","FOOD","IDX2015","A","2009",86.93658,
"AUT","CPI","FOOD","IDX2015","A","2010",87.35316,
"AUT","CPI","FOOD","IDX2015","A","2011",91.08279,
"AUT","CPI","FOOD","IDX2015","A","2012",94.01766,
"AUT","CPI","FOOD","IDX2015","A","2013",97.27296,
"AUT","CPI","FOOD","IDX2015","A","2014",99.18098,
"AUT","CPI","FOOD","IDX2015","A","2015",100,
"AUT","CPI","FOOD","IDX2015","A","2016",100.7333,
"AUT","CPI","FOOD","IDX2015","A","2017",103.1167,
"AUT","CPI","FOOD","IDX2015","A","2018",104.6833,
"AUT","CPI","FOOD","IDX2015","A","2019",105.75,
"AUT","CPI","FOOD","IDX2015","A","2020",108.2157,
"AUT","CPI","FOOD","IDX2015","A","2021",109.0633,
"AUT","CPI","FOOD","IDX2015","A","2022",120.7857,
"BEL","CPI","FOOD","IDX2015","A","1991",63.48946,
"BEL","CPI","FOOD","IDX2015","A","1992",63.39672,
"BEL","CPI","FOOD","IDX2015","A","1993",63.00341,
"BEL","CPI","FOOD","IDX2015","A","1994",64.27362,
"BEL","CPI","FOOD","IDX2015","A","1995",65.0965,
"BEL","CPI","FOOD","IDX2015","A","1996",65.98301,
"BEL","CPI","FOOD","IDX2015","A","1997",67.47446,
"BEL","CPI","FOOD","IDX2015","A","1998",68.78259,
"BEL","CPI","FOOD","IDX2015","A","1999",68.78703,
"BEL","CPI","FOOD","IDX2015","A","2000",69.38045,
"BEL","CPI","FOOD","IDX2015","A","2001",72.59297,
"BEL","CPI","FOOD","IDX2015","A","2002",74.30532,
"BEL","CPI","FOOD","IDX2015","A","2003",75.83104,
"BEL","CPI","FOOD","IDX2015","A","2004",76.78529,
"BEL","CPI","FOOD","IDX2015","A","2005",78.14083,
"BEL","CPI","FOOD","IDX2015","A","2006",80.1382,
"BEL","CPI","FOOD","IDX2015","A","2007",83.26914,
"BEL","CPI","FOOD","IDX2015","A","2008",88.3284,
"BEL","CPI","FOOD","IDX2015","A","2009",89.07642,
"BEL","CPI","FOOD","IDX2015","A","2010",90.55593,
"BEL","CPI","FOOD","IDX2015","A","2011",93.01985,
"BEL","CPI","FOOD","IDX2015","A","2012",95.90366,
"BEL","CPI","FOOD","IDX2015","A","2013",99.18503,
"BEL","CPI","FOOD","IDX2015","A","2014",98.81226,
"BEL","CPI","FOOD","IDX2015","A","2015",100,
"BEL","CPI","FOOD","IDX2015","A","2016",102.2408,
"BEL","CPI","FOOD","IDX2015","A","2017",103.5293,
"BEL","CPI","FOOD","IDX2015","A","2018",105.7651,
"BEL","CPI","FOOD","IDX2015","A","2019",106.5834,
"BEL","CPI","FOOD","IDX2015","A","2020",109.6548,
"BEL","CPI","FOOD","IDX2015","A","2021",109.2226,
"BEL","CPI","FOOD","IDX2015","A","2022",118.8286,
"CZE","CPI","FOOD","IDX2015","A","1994",58.25891,
"CZE","CPI","FOOD","IDX2015","A","1995",65.00833,
"CZE","CPI","FOOD","IDX2015","A","1996",70.19167,
"CZE","CPI","FOOD","IDX2015","A","1997",73.275,
"CZE","CPI","FOOD","IDX2015","A","1998",76.51667,
"CZE","CPI","FOOD","IDX2015","A","1999",72.28333,
"CZE","CPI","FOOD","IDX2015","A","2000",73,
"CZE","CPI","FOOD","IDX2015","A","2001",76.7,
"CZE","CPI","FOOD","IDX2015","A","2002",75.20834,
"CZE","CPI","FOOD","IDX2015","A","2003",73.56667,
"CZE","CPI","FOOD","IDX2015","A","2004",76.075,
"CZE","CPI","FOOD","IDX2015","A","2005",75.88333,
"CZE","CPI","FOOD","IDX2015","A","2006",76.53333,
"CZE","CPI","FOOD","IDX2015","A","2007",80.15833,
"CZE","CPI","FOOD","IDX2015","A","2008",86.65833,
"CZE","CPI","FOOD","IDX2015","A","2009",83.21667,
"CZE","CPI","FOOD","IDX2015","A","2010",84.44167,
"CZE","CPI","FOOD","IDX2015","A","2011",88.35,
"CZE","CPI","FOOD","IDX2015","A","2012",94.45834,
"CZE","CPI","FOOD","IDX2015","A","2013",99.1,
"CZE","CPI","FOOD","IDX2015","A","2014",101.1,
"CZE","CPI","FOOD","IDX2015","A","2015",99.98333,
"CZE","CPI","FOOD","IDX2015","A","2016",99.05,
"CZE","CPI","FOOD","IDX2015","A","2017",104.1833,
"CZE","CPI","FOOD","IDX2015","A","2018",105.55,
"CZE","CPI","FOOD","IDX2015","A","2019",108.525,
"CZE","CPI","FOOD","IDX2015","A","2020",113.45,
"CZE","CPI","FOOD","IDX2015","A","2021",114.3583,
"CZE","CPI","FOOD","IDX2015","A","2022",133.45,
"DNK","CPI","FOOD","IDX2015","A","1988",58.91928,
"DNK","CPI","FOOD","IDX2015","A","1989",61.38075,
"DNK","CPI","FOOD","IDX2015","A","1990",61.53654,
"DNK","CPI","FOOD","IDX2015","A","1991",61.94159,
"DNK","CPI","FOOD","IDX2015","A","1992",63.0103,
"DNK","CPI","FOOD","IDX2015","A","1993",62.82335,
"DNK","CPI","FOOD","IDX2015","A","1994",64.66477,
"DNK","CPI","FOOD","IDX2015","A","1995",66.64329,
"DNK","CPI","FOOD","IDX2015","A","1996",67.7525,
"DNK","CPI","FOOD","IDX2015","A","1997",70.11738,
"DNK","CPI","FOOD","IDX2015","A","1998",71.56933,
"DNK","CPI","FOOD","IDX2015","A","1999",72.04604,
