"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","A","1988",46.22707,
"AUS","CPI","TOT","IDX2015","A","1989",49.70977,
"AUS","CPI","TOT","IDX2015","A","1990",53.355,
"AUS","CPI","TOT","IDX2015","A","1991",55.04992,
"AUS","CPI","TOT","IDX2015","A","1992",55.60715,
"AUS","CPI","TOT","IDX2015","A","1993",56.58231,
"AUS","CPI","TOT","IDX2015","A","1994",57.69677,
"AUS","CPI","TOT","IDX2015","A","1995",60.36684,
"AUS","CPI","TOT","IDX2015","A","1996",61.94567,
"AUS","CPI","TOT","IDX2015","A","1997",62.08498,
"AUS","CPI","TOT","IDX2015","A","1998",62.61899,
"AUS","CPI","TOT","IDX2015","A","1999",63.54771,
"AUS","CPI","TOT","IDX2015","A","2000",66.38031,
"AUS","CPI","TOT","IDX2015","A","2001",69.30578,
"AUS","CPI","TOT","IDX2015","A","2002",71.37218,
"AUS","CPI","TOT","IDX2015","A","2003",73.32249,
"AUS","CPI","TOT","IDX2015","A","2004",75.04063,
"AUS","CPI","TOT","IDX2015","A","2005",77.0606,
"AUS","CPI","TOT","IDX2015","A","2006",79.80032,
"AUS","CPI","TOT","IDX2015","A","2007",81.65777,
"AUS","CPI","TOT","IDX2015","A","2008",85.21012,
"AUS","CPI","TOT","IDX2015","A","2009",86.71929,
"AUS","CPI","TOT","IDX2015","A","2010",89.25006,
"AUS","CPI","TOT","IDX2015","A","2011",92.19875,
"AUS","CPI","TOT","IDX2015","A","2012",93.82401,
"AUS","CPI","TOT","IDX2015","A","2013",96.12259,
"AUS","CPI","TOT","IDX2015","A","2014",98.51405,
"AUS","CPI","TOT","IDX2015","A","2015",100,
"AUS","CPI","TOT","IDX2015","A","2016",101.277,
"AUS","CPI","TOT","IDX2015","A","2017",103.2505,
"AUS","CPI","TOT","IDX2015","A","2018",105.2241,
"AUS","CPI","TOT","IDX2015","A","2019",106.919,
"AUS","CPI","TOT","IDX2015","A","2020",107.8245,
"AUS","CPI","TOT","IDX2015","A","2021",110.9125,
"AUS","CPI","TOT","IDX2015","A","2022",118.2261,
"AUT","CPI","TOT","IDX2015","A","1988",56.05652,
"AUT","CPI","TOT","IDX2015","A","1989",57.49625,
"AUT","CPI","TOT","IDX2015","A","1990",59.3717,
"AUT","CPI","TOT","IDX2015","A","1991",61.35319,
"AUT","CPI","TOT","IDX2015","A","1992",63.8201,
"AUT","CPI","TOT","IDX2015","A","1993",66.13792,
"AUT","CPI","TOT","IDX2015","A","1994",68.09123,
"AUT","CPI","TOT","IDX2015","A","1995",69.61877,
"AUT","CPI","TOT","IDX2015","A","1996",70.91436,
"AUT","CPI","TOT","IDX2015","A","1997",71.84048,
"AUT","CPI","TOT","IDX2015","A","1998",72.50319,
"AUT","CPI","TOT","IDX2015","A","1999",72.91573,
"AUT","CPI","TOT","IDX2015","A","2000",74.6255,
"AUT","CPI","TOT","IDX2015","A","2001",76.60308,
"AUT","CPI","TOT","IDX2015","A","2002",77.98987,
"AUT","CPI","TOT","IDX2015","A","2003",79.04707,
"AUT","CPI","TOT","IDX2015","A","2004",80.67638,
"AUT","CPI","TOT","IDX2015","A","2005",82.53125,
"AUT","CPI","TOT","IDX2015","A","2006",83.72098,
"AUT","CPI","TOT","IDX2015","A","2007",85.53651,
"AUT","CPI","TOT","IDX2015","A","2008",88.28732,
"AUT","CPI","TOT","IDX2015","A","2009",88.73433,
"AUT","CPI","TOT","IDX2015","A","2010",90.34355,
"AUT","CPI","TOT","IDX2015","A","2011",93.31277,
"AUT","CPI","TOT","IDX2015","A","2012",95.63223,
"AUT","CPI","TOT","IDX2015","A","2013",97.54502,
"AUT","CPI","TOT","IDX2015","A","2014",99.1114,
"AUT","CPI","TOT","IDX2015","A","2015",100,
"AUT","CPI","TOT","IDX2015","A","2016",100.8916,
"AUT","CPI","TOT","IDX2015","A","2017",102.9914,
"AUT","CPI","TOT","IDX2015","A","2018",105.0496,
"AUT","CPI","TOT","IDX2015","A","2019",106.6578,
"AUT","CPI","TOT","IDX2015","A","2020",108.1317,
"AUT","CPI","TOT","IDX2015","A","2021",111.1233,
"AUT","CPI","TOT","IDX2015","A","2022",120.6209,
"BEL","CPI","TOT","IDX2015","A","1988",57.34364,
"BEL","CPI","TOT","IDX2015","A","1989",59.12534,
"BEL","CPI","TOT","IDX2015","A","1990",61.16417,
"BEL","CPI","TOT","IDX2015","A","1991",63.13078,
"BEL","CPI","TOT","IDX2015","A","1992",64.66357,
"BEL","CPI","TOT","IDX2015","A","1993",66.44468,
"BEL","CPI","TOT","IDX2015","A","1994",68.02443,
"BEL","CPI","TOT","IDX2015","A","1995",69.023,
"BEL","CPI","TOT","IDX2015","A","1996",70.45663,
"BEL","CPI","TOT","IDX2015","A","1997",71.60378,
"BEL","CPI","TOT","IDX2015","A","1998",72.28348,
"BEL","CPI","TOT","IDX2015","A","1999",73.09367,
"BEL","CPI","TOT","IDX2015","A","2000",74.95354,
"BEL","CPI","TOT","IDX2015","A","2001",76.80434,
"BEL","CPI","TOT","IDX2015","A","2002",78.06794,
"BEL","CPI","TOT","IDX2015","A","2003",79.30841,
"BEL","CPI","TOT","IDX2015","A","2004",80.97173,
"BEL","CPI","TOT","IDX2015","A","2005",83.22391,
"BEL","CPI","TOT","IDX2015","A","2006",84.71461,
"BEL","CPI","TOT","IDX2015","A","2007",86.25901,
"BEL","CPI","TOT","IDX2015","A","2008",90.13156,
"BEL","CPI","TOT","IDX2015","A","2009",90.08366,
"BEL","CPI","TOT","IDX2015","A","2010",92.05586,
"BEL","CPI","TOT","IDX2015","A","2011",95.30735,
"BEL","CPI","TOT","IDX2015","A","2012",98.01376,
"BEL","CPI","TOT","IDX2015","A","2013",99.10474,
"BEL","CPI","TOT","IDX2015","A","2014",99.4417,
"BEL","CPI","TOT","IDX2015","A","2015",100,
"BEL","CPI","TOT","IDX2015","A","2016",101.9739,
"BEL","CPI","TOT","IDX2015","A","2017",104.1418,
"BEL","CPI","TOT","IDX2015","A","2018",106.28,
"BEL","CPI","TOT","IDX2015","A","2019",107.807,
"BEL","CPI","TOT","IDX2015","A","2020",108.6057,
"BEL","CPI","TOT","IDX2015","A","2021",111.2559,
"BEL","CPI","TOT","IDX2015","A","2022",121.9337,
"CAN","CPI","TOT","IDX2015","A","1988",56.28127,
"CAN","CPI","TOT","IDX2015","A","1989",59.08612,
"CAN","CPI","TOT","IDX2015","A","1990",61.91072,
"CAN","CPI","TOT","IDX2015","A","1991",65.39373,
"CAN","CPI","TOT","IDX2015","A","1992",66.36819,
"CAN","CPI","TOT","IDX2015","A","1993",67.606,
"CAN","CPI","TOT","IDX2015","A","1994",67.71793,
"CAN","CPI","TOT","IDX2015","A","1995",69.17303,
"CAN","CPI","TOT","IDX2015","A","1996",70.25941,
"CAN","CPI","TOT","IDX2015","A","1997",71.39848,
"CAN","CPI","TOT","IDX2015","A","1998",72.10956,
"CAN","CPI","TOT","IDX2015","A","1999",73.36055,
"CAN","CPI","TOT","IDX2015","A","2000",75.35555,
"CAN","CPI","TOT","IDX2015","A","2001",77.25836,
"CAN","CPI","TOT","IDX2015","A","2002",79.00316,
"CAN","CPI","TOT","IDX2015","A","2003",81.18251,
"CAN","CPI","TOT","IDX2015","A","2004",82.69028,
"CAN","CPI","TOT","IDX2015","A","2005",84.52068,
"CAN","CPI","TOT","IDX2015","A","2006",86.2128,
"CAN","CPI","TOT","IDX2015","A","2007",88.05636,
"CAN","CPI","TOT","IDX2015","A","2008",90.14353,
"CAN","CPI","TOT","IDX2015","A","2009",90.41348,
"CAN","CPI","TOT","IDX2015","A","2010",92.02002,
"CAN","CPI","TOT","IDX2015","A","2011",94.69976,
"CAN","CPI","TOT","IDX2015","A","2012",96.13511,
"CAN","CPI","TOT","IDX2015","A","2013",97.03713,
"CAN","CPI","TOT","IDX2015","A","2014",98.88728,
"CAN","CPI","TOT","IDX2015","A","2015",100,
"CAN","CPI","TOT","IDX2015","A","2016",101.4288,
"CAN","CPI","TOT","IDX2015","A","2017",103.0485,
"CAN","CPI","TOT","IDX2015","A","2018",105.3858,
"CAN","CPI","TOT","IDX2015","A","2019",107.4401,
"CAN","CPI","TOT","IDX2015","A","2020",108.2104,
"CAN","CPI","TOT","IDX2015","A","2021",111.8844,
"CAN","CPI","TOT","IDX2015","A","2022",119.4957,
"CZE","CPI","TOT","IDX2015","A","1991",32.45156,
"CZE","CPI","TOT","IDX2015","A","1992",36.0493,
"CZE","CPI","TOT","IDX2015","A","1993",43.55226,
"CZE","CPI","TOT","IDX2015","A","1994",47.92465,
"CZE","CPI","TOT","IDX2015","A","1995",52.23333,
"CZE","CPI","TOT","IDX2015","A","1996",56.80833,
"CZE","CPI","TOT","IDX2015","A","1997",61.69167,
"CZE","CPI","TOT","IDX2015","A","1998",68.29166,
"CZE","CPI","TOT","IDX2015","A","1999",69.75,
"CZE","CPI","TOT","IDX2015","A","2000",72.38333,
"CZE","CPI","TOT","IDX2015","A","2001",75.75833,
"CZE","CPI","TOT","IDX2015","A","2002",77.2,
"CZE","CPI","TOT","IDX2015","A","2003",77.29166,
"CZE","CPI","TOT","IDX2015","A","2004",79.425,
"CZE","CPI","TOT","IDX2015","A","2005",80.9,
"CZE","CPI","TOT","IDX2015","A","2006",82.95,
"CZE","CPI","TOT","IDX2015","A","2007",85.31667,
"CZE","CPI","TOT","IDX2015","A","2008",90.74167,
"CZE","CPI","TOT","IDX2015","A","2009",91.66666,
"CZE","CPI","TOT","IDX2015","A","2010",93.01667,
"CZE","CPI","TOT","IDX2015","A","2011",94.8,
"CZE","CPI","TOT","IDX2015","A","2012",97.91666,
"CZE","CPI","TOT","IDX2015","A","2013",99.325,
"CZE","CPI","TOT","IDX2015","A","2014",99.66666,
"CZE","CPI","TOT","IDX2015","A","2015",99.975,
"CZE","CPI","TOT","IDX2015","A","2016",100.6583,
"CZE","CPI","TOT","IDX2015","A","2017",103.125,
"CZE","CPI","TOT","IDX2015","A","2018",105.3417,
"CZE","CPI","TOT","IDX2015","A","2019",108.3417,
"CZE","CPI","TOT","IDX2015","A","2020",111.7667,
"CZE","CPI","TOT","IDX2015","A","2021",116.0583,
"CZE","CPI","TOT","IDX2015","A","2022",133.5833,
"DNK","CPI","TOT","IDX2015","A","1988",57.38357,
"DNK","CPI","TOT","IDX2015","A","1989",60.12233,
"DNK","CPI","TOT","IDX2015","A","1990",61.71053,
"DNK","CPI","TOT","IDX2015","A","1991",63.18859,
"DNK","CPI","TOT","IDX2015","A","1992",64.51305,
"DNK","CPI","TOT","IDX2015","A","1993",65.32453,
"DNK","CPI","TOT","IDX2015","A","1994",66.6258,
"DNK","CPI","TOT","IDX2015","A","1995",68.01402,
"DNK","CPI","TOT","IDX2015","A","1996",69.46021,
"DNK","CPI","TOT","IDX2015","A","1997",70.97594,
"DNK","CPI","TOT","IDX2015","A","1998",72.28591,
"DNK","CPI","TOT","IDX2015","A","1999",74.09146,
"DNK","CPI","TOT","IDX2015","A","2000",76.24255,
"DNK","CPI","TOT","IDX2015","A","2001",78.025,
