"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1988",56.94628,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1989",58.48497,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1990",60.17727,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1991",62.22709,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1992",64.92924,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1993",67.70387,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1994",69.91155,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1995",71.50474,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1996",72.58785,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1997",73.38963,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1998",74.26752,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","1999",74.81067,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2000",76.04892,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2001",78.03699,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2002",79.7196,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2003",80.84325,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2004",82.28059,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2005",83.67046,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2006",84.43744,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2007",85.80405,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2008",87.47049,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2009",89.01839,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2010",90.27345,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2011",92.39526,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2012",94.32862,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2013",96.28455,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2014",98.18783,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2016",101.4668,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2017",103.467,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2018",105.3421,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2019",107.0839,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2020",109.1183,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2021",111.4641,
"AUT","CPI","TOT_FOODENRG","IDX2015","A","2022",117.5833,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1988",58.12617,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1989",59.64884,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1990",61.36012,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1991",63.93709,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1992",66.20914,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1993",68.52288,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1994",70.34601,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1995",71.58567,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1996",72.93286,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1997",73.88796,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1998",75.19027,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","1999",76.17883,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2000",77.56958,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2001",79.23959,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2002",80.80048,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2003",82.12992,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2004",83.66493,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2005",85.45454,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2006",85.97316,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2007",87.37495,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2008",89.06731,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2009",90.79527,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2010",92.06514,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2011",93.72916,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2012",95.82538,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2013",97.12033,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2014",98.64919,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2016",101.9594,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2017",103.5045,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2018",104.8634,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2019",106.6318,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2020",108.2092,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2021",109.9542,
"BEL","CPI","TOT_FOODENRG","IDX2015","A","2022",114.9786,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","1995",66.95834,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","1996",72.30833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","1997",77.78333,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","1998",83.9,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","1999",86.01667,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2000",87.38333,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2001",85.59167,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2002",87.20834,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2003",87.24167,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2004",88.575,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2005",89.30833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2006",89.975,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2007",92.10833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2008",95.50833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2009",96.20834,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2010",96.48333,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2011",96.55833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2012",97.5,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2013",98.10833,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2014",98.76667,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2015",100.0083,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2016",101.625,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2017",103.65,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2018",106.0917,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2019",108.7667,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2020",112.7167,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2021",118.3417,
"CZE","CPI","TOT_FOODENRG","IDX2015","A","2022",132.775,
