"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1988",47.73997,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1989",51.29672,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1990",55.13621,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1991",57.05042,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1992",57.60622,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1993",58.58257,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1994",59.76876,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1995",62.53939,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1996",64.63634,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1997",64.36929,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1998",64.93726,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","1999",65.61562,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2000",68.36314,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2001",71.27536,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2002",73.41441,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2003",75.13926,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2004",76.66281,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2005",78.30554,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2006",79.84795,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2007",81.80714,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2008",84.75288,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2009",86.71278,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2010",89.04942,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2011",90.96666,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2012",92.90466,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2013",95.13464,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2014",97.59676,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2016",101.8124,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2017",103.446,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2018",104.7588,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2019",105.471,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2020",105.4667,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2021",106.9496,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2022",112.8806,
