LOCATION,TIME,Value
CZE,1994,10.03942422
CZE,1995,8.990530564
CZE,1996,8.758774729
CZE,1997,8.596156667
CZE,1998,10.69836553
CZE,1999,2.135448444
CZE,2000,3.775388292
CZE,2001,4.66267557
CZE,2002,1.90298097
CZE,2003,0.118739206
CZE,2004,2.760107817
CZE,2005,1.857097891
CZE,2006,2.533992583
CZE,2007,2.853124372
CZE,2008,6.358663802
CZE,2009,1.019377353
CZE,2010,1.472727273
CZE,2011,1.917219136
CZE,2012,3.287623066
CZE,2013,1.438297872
CZE,2014,0.34398859
CZE,2015,0.309364548
CZE,2016,0.683504209
CZE,2017,2.450533985
CZE,2018,2.149494949
CZE,2019,2.847875959
CZE,2020,3.161295285
CZE,2021,3.839844917
CZE,2022,15.17290789
CZE,2023,9.872027074
CZE,2024,4.132385035
DNK,1987,4.019990115
DNK,1988,4.535135421
DNK,1989,4.772727273
DNK,1990,2.641600386
DNK,1991,2.395153337
DNK,1992,2.096041829
DNK,1993,1.257861635
DNK,1994,1.992014197
DNK,1995,2.083605202
DNK,1996,2.126299642
DNK,1997,2.182167146
DNK,1998,1.845651286
DNK,1999,2.497794884
DNK,2000,2.903277087
DNK,2001,2.337874837
DNK,2002,2.424436612
DNK,2003,2.075078206
DNK,2004,1.154356931
DNK,2005,1.817814583
DNK,2006,1.924221385
DNK,2007,1.693265862
DNK,2008,3.416267943
DNK,2009,1.30470991
DNK,2010,2.31092437
DNK,2011,2.758682261
DNK,2012,2.397914857
DNK,2013,0.78907178
DNK,2014,0.56402054
DNK,2015,0.452034154
DNK,2016,0.25
DNK,2017,1.14713217
DNK,2018,0.813609467
DNK,2019,0.758131573
DNK,2020,0.420711974
DNK,2021,1.85304544
DNK,2022,7.817441995
DNK,2023,5.517962506
DNK,2024,2.831644079
HUN,1987,8.674317372
HUN,1988,15.72354526
HUN,1989,17.14915041
HUN,1990,28.36959441
HUN,1991,34.81754268
HUN,1992,23.6557172
HUN,1993,22.4642409
HUN,1994,18.86807918
HUN,1995,28.30546458
HUN,1996,23.4690313
HUN,1997,18.30507737
HUN,1998,14.15378955
HUN,1999,9.9977439
HUN,2000,9.803607851
HUN,2001,9.116809117
HUN,2002,5.265448216
HUN,2003,4.661016949
HUN,2004,6.744346796
HUN,2005,3.561517114
HUN,2006,3.930326038
HUN,2007,7.958745165
HUN,2008,6.042512539
HUN,2009,4.211711712
HUN,2010,4.855557957
HUN,2011,3.929920989
HUN,2012,5.652145171
HUN,2013,1.73319985
HUN,2014,-0.227566271
HUN,2015,-0.06164468
HUN,2016,0.394769307
HUN,2017,2.348242812
HUN,2018,2.850247926
HUN,2019,3.338586354
HUN,2020,3.326743858
HUN,2021,5.110965343
HUN,2022,13.51392078
HUN,2023,12.70565705
HUN,2024,5.232642831
POL,1990,567.8787721
POL,1991,76.76950998
POL,1992,46.09856263
POL,1993,36.96416022
POL,1994,32.99127758
POL,1995,27.95138889
POL,1996,19.79496457
POL,1997,14.91316386
POL,1998,11.59785347
POL,1999,7.15407262
POL,2000,9.900174009
POL,2001,5.408333333
POL,2002,1.905288956
POL,2003,0.682699767
POL,2004,3.382647557
POL,2005,2.183796676
POL,2006,1.284693465
POL,2007,2.458743124
POL,2008,4.164971935
POL,2009,3.795392425
POL,2010,2.580693703
POL,2011,4.239401496
POL,2012,3.560371517
POL,2013,0.991982606
POL,2014,0.053821313
POL,2015,-0.874125874
POL,2016,-0.664767331
POL,2017,2.075935537
POL,2018,1.812951565
POL,2019,2.227478809
POL,2020,3.374469726
POL,2021,5.055027049
POL,2022,14.16574619
POL,2023,10.77480474
POL,2024,6.648097592
SWE,1987,4.188571518
SWE,1988,5.824898684
SWE,1989,6.443275874
SWE,1990,10.36655339
SWE,1991,9.444627329
SWE,1992,2.374367251
SWE,1993,4.728173046
SWE,1994,2.158138007
SWE,1995,2.455148578
SWE,1996,0.533131979
SWE,1997,0.658410256
SWE,1998,-0.267132668
SWE,1999,0.462175756
SWE,2000,0.899143734
SWE,2001,2.405958341
SWE,2002,2.158482136
SWE,2003,1.925655349
SWE,2004,0.373659829
SWE,2005,0.453170853
SWE,2006,1.360214686
SWE,2007,2.212168834
SWE,2008,3.437049106
SWE,2009,-0.494460544
SWE,2010,1.157988027
SWE,2011,2.961150738
SWE,2012,0.888377507
SWE,2013,-0.04429297
SWE,2014,-0.179638494
SWE,2015,-0.046784745
SWE,2016,0.984269245
SWE,2017,1.794499047
SWE,2018,1.953535301
SWE,2019,1.784150974
SWE,2020,0.497367319
SWE,2021,2.163197364
SWE,2022,8.26671036
SWE,2023,6.986401211
SWE,2024,2.305943451
OECD,1987,12.85456413
OECD,1988,13.24354544
OECD,1989,7.261811358
OECD,1990,7.940793108
OECD,1991,8.096826419
OECD,1992,6.458557186
OECD,1993,5.634839981
OECD,1994,6.36080874
OECD,1995,7.273412546
OECD,1996,6.232522965
OECD,1997,5.474414448
OECD,1998,4.799590192
OECD,1999,3.541551501
OECD,2000,3.719533831
OECD,2001,3.453021831
OECD,2002,2.623109654
OECD,2003,2.428403251
OECD,2004,2.347217586
OECD,2005,2.440467308
OECD,2006,2.543153764
OECD,2007,2.447885002
OECD,2008,3.453168279
OECD,2009,0.651698464
OECD,2010,1.954697253
OECD,2011,2.683460555
OECD,2012,2.267094908
OECD,2013,1.633740014
OECD,2014,1.726619686
OECD,2015,0.763596755
OECD,2016,1.108863016
OECD,2017,2.265866652
OECD,2018,2.603149794
OECD,2019,1.971438687
OECD,2020,1.317711259
OECD,2021,3.759021347
OECD,2022,9.404067424
OECD,2023,6.573178303
OECD,2024,5.135828173
AUT,1997,1.163411745
AUT,1998,0.820631714
AUT,1999,0.514554375
AUT,2000,1.957075712
AUT,2001,2.299412372
AUT,2002,1.681995374
AUT,2003,1.301766301
AUT,2004,1.96498034
AUT,2005,2.102868958
AUT,2006,1.686934862
AUT,2007,2.200647249
AUT,2008,3.225020704
AUT,2009,0.402095427
AUT,2010,1.694070752
AUT,2011,3.550793636
AUT,2012,2.571999929
AUT,2013,2.117585622
AUT,2014,1.460861857
AUT,2015,0.804757985
AUT,2016,0.970833333
AUT,2017,2.23084224
AUT,2018,2.119998708
AUT,2019,1.490979809
AUT,2020,1.388066677
AUT,2021,2.758869717
AUT,2022,8.511069426
AUT,2023,6.734554054
AUT,2024,3.630754486
BEL,1992,2.248640678
BEL,1993,2.48760703
BEL,1994,2.392049952
BEL,1995,1.271150047
BEL,1996,1.775488727
BEL,1997,1.502879238
BEL,1998,0.907481186
BEL,1999,1.134828737
BEL,2000,2.679101411
BEL,2001,2.43465887
BEL,2002,1.547628092
BEL,2003,1.516560326
BEL,2004,1.857115785
BEL,2005,2.5374677
BEL,2006,2.327503654
BEL,2007,1.816498217
BEL,2008,4.489250953
BEL,2009,-0.006481602
BEL,2010,2.333527794
BEL,2011,3.352607433
BEL,2012,2.625726693
BEL,2013,1.248133771
BEL,2014,0.490402602
BEL,2015,0.619654536
BEL,2016,1.77001475
BEL,2017,2.223987292
BEL,2018,2.310976538
BEL,2019,1.248786446
BEL,2020,0.427624711
BEL,2021,3.222403598
BEL,2022,9.906960789
BEL,2023,6.566318365
BEL,2024,4.112990787
FIN,1991,4.552424765
FIN,1992,3.245027042
FIN,1993,3.329485927
FIN,1994,1.606805293
FIN,1995,0.397463002
FIN,1996,1.072261425
FIN,1997,1.216850123
FIN,1998,1.349057037
FIN,1999,1.309593879
FIN,2000,2.951790403
FIN,2001,2.665306521
FIN,2002,2.00733592
FIN,2003,1.290128702
FIN,2004,0.147319099
FIN,2005,0.774330633
FIN,2006,1.275228335
FIN,2007,1.58347263
FIN,2008,3.915695297
FIN,2009,1.633748329
FIN,2010,1.685854496
FIN,2011,3.324066683
FIN,2012,3.162072885
FIN,2013,2.21558484
FIN,2014,1.209252975
FIN,2015,-0.155590871
FIN,2016,0.389166667
FIN,2017,0.839233981
FIN,2018,1.168935939
FIN,2019,1.136714999
FIN,2020,0.382959894
FIN,2021,2.066185254
FIN,2022,7.0122691
FIN,2023,5.250027744
FIN,2024,3.078152086
FRA,1991,3.404539386
FRA,1992,2.45319561
FRA,1993,2.22342245
FRA,1994,1.681930257
FRA,1995,1.792673422
FRA,1996,2.062939801
FRA,1997,1.268919806
FRA,1998,0.675378871
FRA,1999,0.573766021
FRA,2000,1.812344768
FRA,2001,1.782214079
FRA,2002,1.938353655
FRA,2003,2.17152479
FRA,2004,2.33640164
FRA,2005,1.889293675
FRA,2006,1.891847611
FRA,2007,1.602285195
FRA,2008,3.159619431
FRA,2009,0.101974515
FRA,2010,1.739012847
FRA,2011,2.291456218
FRA,2012,2.218468468
FRA,2013,0.98982212
FRA,2014,0.610897129
FRA,2015,0.086741119
FRA,2016,0.304997458
FRA,2017,1.162278698
FRA,2018,2.099108125
FRA,2019,1.298241663
FRA,2020,0.524075721
FRA,2021,2.066416001
FRA,2022,5.881788887
