"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","TOT_MKT","AGRWTH","A","2000",3.076993,
"AUT","PPI","TOT_MKT","AGRWTH","A","2001",0.2056267,
"AUT","PPI","TOT_MKT","AGRWTH","A","2002",-1.156609,
"AUT","PPI","TOT_MKT","AGRWTH","A","2003",-0.1509861,
"AUT","PPI","TOT_MKT","AGRWTH","A","2004",1.852377,
"AUT","PPI","TOT_MKT","AGRWTH","A","2005",3.31261,
"AUT","PPI","TOT_MKT","AGRWTH","A","2006",1.472966,
"AUT","PPI","TOT_MKT","AGRWTH","A","2007",2.239334,
"AUT","PPI","TOT_MKT","AGRWTH","A","2008",2.493291,
"AUT","PPI","TOT_MKT","AGRWTH","A","2009",-1.697779,
"AUT","PPI","TOT_MKT","AGRWTH","A","2010",3.084723,
"AUT","PPI","TOT_MKT","AGRWTH","A","2011",3.875969,
"AUT","PPI","TOT_MKT","AGRWTH","A","2012",1.13144,
"AUT","PPI","TOT_MKT","AGRWTH","A","2013",-0.2142347,
"AUT","PPI","TOT_MKT","AGRWTH","A","2014",-0.4850509,
"AUT","PPI","TOT_MKT","AGRWTH","A","2015",-0.8369014,
"AUT","PPI","TOT_MKT","AGRWTH","A","2016",-1.033247,
"AUT","PPI","TOT_MKT","AGRWTH","A","2017",2.483792,
"AUT","PPI","TOT_MKT","AGRWTH","A","2018",2.13605,
"AUT","PPI","TOT_MKT","AGRWTH","A","2019",0.201094,
"AUT","PPI","TOT_MKT","AGRWTH","A","2020",-1.155977,
"AUT","PPI","TOT_MKT","AGRWTH","A","2021",6.440348,
"BEL","PPI","TOT_MKT","AGRWTH","A","2002",-0.1695298,
"BEL","PPI","TOT_MKT","AGRWTH","A","2003",-1.43779,
"BEL","PPI","TOT_MKT","AGRWTH","A","2004",7.523547,
"BEL","PPI","TOT_MKT","AGRWTH","A","2005",6.377524,
"BEL","PPI","TOT_MKT","AGRWTH","A","2006",6.005222,
"BEL","PPI","TOT_MKT","AGRWTH","A","2007",3.249337,
"BEL","PPI","TOT_MKT","AGRWTH","A","2008",5.706945,
"BEL","PPI","TOT_MKT","AGRWTH","A","2009",-4.157625,
"BEL","PPI","TOT_MKT","AGRWTH","A","2010",7.489585,
"BEL","PPI","TOT_MKT","AGRWTH","A","2011",8.416884,
"BEL","PPI","TOT_MKT","AGRWTH","A","2012",3.403792,
"BEL","PPI","TOT_MKT","AGRWTH","A","2013",-1.01458,
"BEL","PPI","TOT_MKT","AGRWTH","A","2014",-2.573837,
"BEL","PPI","TOT_MKT","AGRWTH","A","2015",-6.468204,
"BEL","PPI","TOT_MKT","AGRWTH","A","2016",-1.783036,
"BEL","PPI","TOT_MKT","AGRWTH","A","2017",8.092976,
"BEL","PPI","TOT_MKT","AGRWTH","A","2018",4.544028,
"BEL","PPI","TOT_MKT","AGRWTH","A","2019",0.5780347,
"BEL","PPI","TOT_MKT","AGRWTH","A","2020",-3.403493,
"BEL","PPI","TOT_MKT","AGRWTH","A","2021",12.30103,
"CZE","PPI","TOT_MKT","AGRWTH","A","1997",4.782425,
"CZE","PPI","TOT_MKT","AGRWTH","A","1998",4.499362,
"CZE","PPI","TOT_MKT","AGRWTH","A","1999",-0.08715498,
"CZE","PPI","TOT_MKT","AGRWTH","A","2000",10.56299,
"CZE","PPI","TOT_MKT","AGRWTH","A","2001",0.7732407,
"CZE","PPI","TOT_MKT","AGRWTH","A","2002",-4.560738,
"CZE","PPI","TOT_MKT","AGRWTH","A","2003",-0.06323396,
"CZE","PPI","TOT_MKT","AGRWTH","A","2004",4.031456,
"CZE","PPI","TOT_MKT","AGRWTH","A","2005",0.5647754,
"CZE","PPI","TOT_MKT","AGRWTH","A","2006",-1.209608,
"CZE","PPI","TOT_MKT","AGRWTH","A","2007",1.556761,
"CZE","PPI","TOT_MKT","AGRWTH","A","2008",-1.756803,
"CZE","PPI","TOT_MKT","AGRWTH","A","2009",-1.288569,
"CZE","PPI","TOT_MKT","AGRWTH","A","2010",-0.9413018,
"CZE","PPI","TOT_MKT","AGRWTH","A","2011",2.913492,
"CZE","PPI","TOT_MKT","AGRWTH","A","2012",3.083624,
"CZE","PPI","TOT_MKT","AGRWTH","A","2013",0.9802265,
"CZE","PPI","TOT_MKT","AGRWTH","A","2014",2.853556,
"CZE","PPI","TOT_MKT","AGRWTH","A","2015",-2.40013,
"CZE","PPI","TOT_MKT","AGRWTH","A","2016",-2.950984,
"CZE","PPI","TOT_MKT","AGRWTH","A","2017",0.4466586,
"CZE","PPI","TOT_MKT","AGRWTH","A","2018",0.3762613,
"CZE","PPI","TOT_MKT","AGRWTH","A","2019",1.124553,
"CZE","PPI","TOT_MKT","AGRWTH","A","2020",0.2021904,
"CZE","PPI","TOT_MKT","AGRWTH","A","2021",5.750799,
"DNK","PPI","TOT_MKT","AGRWTH","A","1986",-3.0491,
"DNK","PPI","TOT_MKT","AGRWTH","A","1987",0.7453752,
"DNK","PPI","TOT_MKT","AGRWTH","A","1988",4.03537,
"DNK","PPI","TOT_MKT","AGRWTH","A","1989",5.636484,
"DNK","PPI","TOT_MKT","AGRWTH","A","1990",1.96849,
"DNK","PPI","TOT_MKT","AGRWTH","A","1991",1.058177,
"DNK","PPI","TOT_MKT","AGRWTH","A","1992",-0.3215761,
"DNK","PPI","TOT_MKT","AGRWTH","A","1993",-1.421763,
"DNK","PPI","TOT_MKT","AGRWTH","A","1994",0.5913762,
"DNK","PPI","TOT_MKT","AGRWTH","A","1995",3.059361,
"DNK","PPI","TOT_MKT","AGRWTH","A","1996",1.755649,
"DNK","PPI","TOT_MKT","AGRWTH","A","1997",1.645893,
"DNK","PPI","TOT_MKT","AGRWTH","A","1998",-0.4947685,
"DNK","PPI","TOT_MKT","AGRWTH","A","1999",0.3939084,
"DNK","PPI","TOT_MKT","AGRWTH","A","2000",4.716555,
"DNK","PPI","TOT_MKT","AGRWTH","A","2001",2.896476,
"DNK","PPI","TOT_MKT","AGRWTH","A","2002",0.963288,
"DNK","PPI","TOT_MKT","AGRWTH","A","2003",0.04240432,
