"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","TOT_MKT","IDX2015","A","2000",86.21091,
"AUT","PPI","TOT_MKT","IDX2015","A","2001",86.38818,
"AUT","PPI","TOT_MKT","IDX2015","A","2002",85.38902,
"AUT","PPI","TOT_MKT","IDX2015","A","2003",85.26009,
"AUT","PPI","TOT_MKT","IDX2015","A","2004",86.83942,
"AUT","PPI","TOT_MKT","IDX2015","A","2005",89.71608,
"AUT","PPI","TOT_MKT","IDX2015","A","2006",91.03757,
"AUT","PPI","TOT_MKT","IDX2015","A","2007",93.0762,
"AUT","PPI","TOT_MKT","IDX2015","A","2008",95.39686,
"AUT","PPI","TOT_MKT","IDX2015","A","2009",93.77723,
"AUT","PPI","TOT_MKT","IDX2015","A","2010",96.67,
"AUT","PPI","TOT_MKT","IDX2015","A","2011",100.4169,
"AUT","PPI","TOT_MKT","IDX2015","A","2012",101.5531,
"AUT","PPI","TOT_MKT","IDX2015","A","2013",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","A","2014",100.844,
"AUT","PPI","TOT_MKT","IDX2015","A","2015",100,
"AUT","PPI","TOT_MKT","IDX2015","A","2016",98.96675,
"AUT","PPI","TOT_MKT","IDX2015","A","2017",101.4249,
"AUT","PPI","TOT_MKT","IDX2015","A","2018",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","A","2019",103.7997,
"AUT","PPI","TOT_MKT","IDX2015","A","2020",102.5998,
"AUT","PPI","TOT_MKT","IDX2015","A","2021",109.2076,
"BEL","PPI","TOT_MKT","IDX2015","A","2001",73.73333,
"BEL","PPI","TOT_MKT","IDX2015","A","2002",73.60833,
"BEL","PPI","TOT_MKT","IDX2015","A","2003",72.55,
"BEL","PPI","TOT_MKT","IDX2015","A","2004",78.00833,
"BEL","PPI","TOT_MKT","IDX2015","A","2005",82.98333,
"BEL","PPI","TOT_MKT","IDX2015","A","2006",87.96667,
"BEL","PPI","TOT_MKT","IDX2015","A","2007",90.825,
"BEL","PPI","TOT_MKT","IDX2015","A","2008",96.00833,
"BEL","PPI","TOT_MKT","IDX2015","A","2009",92.01667,
"BEL","PPI","TOT_MKT","IDX2015","A","2010",98.90833,
"BEL","PPI","TOT_MKT","IDX2015","A","2011",107.2333,
