Entity,Code,Year,Low-carbon energy (TWh growth - equivalent),Renewables (TWh growth - equivalent),Fossil fuels (TWh growth),Nuclear (TWh growth - equivalent)
Africa,,1966,4.7441063,4.7441063,28.976013,0
Africa,,1967,2.012619,2.012619,5.683838,0
Africa,,1968,8.124931,8.124931,34.439148,0
Africa,,1969,9.35162,9.35162,12.656067,0
Africa,,1970,16.350792,16.350792,53.99176,0
Africa,,1971,-4.258049,-4.258049,64.93353,0
Africa,,1972,10.706924,10.706924,44.571045,0
Africa,,1973,5.079834,5.079834,78.62787,0
Africa,,1974,12.794197,12.794197,39.78241,0
Africa,,1975,6.054901,6.054901,63.15918,0
Africa,,1976,12.105011,12.105011,93.51245,0
Africa,,1977,12.228485,12.228485,60.46289,0
Africa,,1978,1.1374054,1.1374054,52.26758,0
Africa,,1979,9.6539,9.6539,119.66199,0
Africa,,1980,-3.687271,-3.687271,120.6814,0
Africa,,1981,5.5975647,5.5975647,200.4419,0
Africa,,1982,0.09687805,0.09687805,124.98486,0
Africa,,1983,-14.68309,-14.68309,75.93701,0
Africa,,1984,8.911026,-2.2262268,55.479126,11.137245
Africa,,1985,18.72168,14.777542,68.54785,3.9441462
Africa,,1986,16.025818,6.1285553,34.119873,9.897252
Africa,,1987,-13.656601,-6.176895,86.552246,-7.4796886
Africa,,1988,25.601593,13.326492,141.10083,12.275087
Africa,,1989,9.623657,7.9041443,-3.8552246,1.7195358
Africa,,1990,-4.0558014,3.4635925,87.70825,-7.519415
Africa,,1991,12.077805,10.105728,-14.623535,1.9720726
Africa,,1992,-7.7394867,-8.148087,46.52295,0.40860367
Africa,,1993,-8.940765,-3.1720886,13.808594,-5.768669
Africa,,1994,9.316666,2.3874664,83.72583,6.9292107
Africa,,1995,11.519714,6.9683228,102.33594,4.5513725
Africa,,1996,9.6436615,8.298676,62.894775,1.344986
Africa,,1997,7.4365387,4.9622345,52.37671,2.4743118
Africa,,1998,12.0173645,9.310379,34.116455,2.7069855
Africa,,1999,9.735306,11.903168,84.706055,-2.1678581
Africa,,2000,16.322525,15.831619,56.348877,0.4908905
Africa,,2001,9.244141,15.942398,102.28735,-6.6982517
