Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Africa,,2001,25.282646,1.2654662,13.974619,-17.609531,0.86438656,136.79771,7.458949,2.9214501
Africa,,2002,12.297559,-4.252845,5.6676984,11.866772,3.2458663,6.7385435,5.140841,-2.0961523
Africa,,2003,19.4026,8.842564,6.0991645,5.6042075,3.0860782,20.743525,-2.883643,14.695585
Africa,,2004,22.471296,10.040164,10.057747,5.5446863,4.0461183,43.443226,5.6250453,13.592493
Africa,,2005,19.606007,-7.1561694,3.1559706,-15.506548,4.3118834,1.5751481,1.8553972,1.0346174
Africa,,2006,29.025114,1.4459491,4.41463,-11.216629,1.1358619,9.249759,3.6151528,25.276386
Africa,,2007,33.14861,1.6636252,6.713867,12.876522,3.6460161,19.195915,3.4212112,-16.66549
Africa,,2008,43.92791,10.17996,3.898859,14.906776,5.1944375,29.083656,1.8578529,3.9893508
Africa,,2009,31.88771,-0.4000187,0.6093502,-1.5226066,3.3496141,21.150887,2.6750565,9.038591
Africa,,2010,125.47302,-0.9491384,4.2377353,5.6301713,4.2544723,43.75396,8.173203,5.665076
Africa,,2011,178.67827,-1.5058637,8.136296,-4.6203794,-1.6297281,4.4612765,2.833867,2.5027037
Africa,,2012,64.869095,-2.5113106,8.132124,0.5071521,5.824673,5.410695,0.43016672,4.758978
Africa,,2013,-20.665604,1.0437012,2.0034552,8.780182,3.6452293,42.844807,5.776942,9.668552
Africa,,2014,141.79065,4.7467113,2.7847528,-2.211815,1.0319471,40.81389,5.4649115,23.206413
Africa,,2015,71.131805,-5.47114,10.233534,-11.28751,2.60396,76.09799,-2.9554904,31.263638
Africa,,2016,65.22681,6.0095787,3.4055114,22.791529,0.5357027,25.42659,-2.4817944,0.8671284
Africa,,2017,44.377472,-0.10291934,5.7096004,-5.543727,1.0024786,11.462426,7.5922728,5.450654
Africa,,2018,29.332388,-1.8114746,6.544006,-18.410486,1.0931969,18.55812,6.5365434,7.168007
Africa,,2019,28.256166,5.819607,0.40032864,17.409325,0.20084381,30.890465,3.5791516,1.1048555
Africa,,2020,24.541998,-5.962372,-0.88773966,2.5998354,-11.095458,10.197091,4.9889445,-2.3786902
Africa,,2021,2.8422475,0.9361267,7.021153,-25.271654,8.577072,14.613366,4.8134685,-0.49711466
Africa,,1966,,-0.11560321,11.799979,,8.270395,,11.537552,
Africa,,1967,,2.2187948,-1.1644542,,-0.36844015,,4.3883324,
Africa,,1968,,4.002917,1.3588428,,5.7248354,,16.970957,
Africa,,1969,,0.9111762,16.868137,,1.984334,,16.699196,
Africa,,1970,,4.071629,24.242126,,9.283781,,25.019527,
Africa,,1971,,6.1690807,18.588125,,9.1737385,,-5.8523836,
Africa,,1972,,0.31292439,34.04132,,7.835698,,13.915169,0.6097555
Africa,,1973,,6.428647,60.31917,,7.646215,,5.779028,3.0303001
Africa,,1974,,4.0927887,12.557447,,3.2889366,,13.786161,2.9411793
Africa,,1975,,5.975449,20.485615,,5.037868,,5.750096,-1.7142832
Africa,,1976,,6.6493034,13.689852,,9.419071,,10.81624,7.558143
Africa,,1977,,2.2084475,11.893475,,6.525767,,9.883654,2.1621585
Africa,,1978,,-2.8234482,42.699562,,5.3245783,,0.8233905,3.174603
Africa,,1979,,6.159568,52.863266,,5.2934527,,7.0362926,3.0769348
Africa,,1980,,7.1582675,25.578106,,6.0056925,,-2.528876,2.9850721
Africa,,1981,,16.970015,22.244013,,8.15221,,3.8937092,5.3140044
Africa,,1982,,10.282671,7.9838514,,4.6800733,,0.02655983,8.256888
Africa,,1983,,1.7214179,9.9466915,,4.2503,,-9.877407,-2.5423706
Africa,,1984,,6.9613814,-4.192269,,1.7831922,,-1.6734481,1.7391324
Africa,,1985,,3.1810403,7.2873354,35.414017,2.5810838,,11.147928,14.957261
Africa,,1986,,2.3108482,12.346911,65.625595,-1.8368423,,3.4291148,144.98141
Africa,,1987,,2.851367,3.2282472,-29.944342,5.4092526,,-4.084259,-0.1517415
Africa,,1988,,7.4658394,10.841644,70.14756,4.241526,,9.248507,-4.86322
Africa,,1989,,-6.126976,3.6341667,5.775273,3.466761,,5.005753,-1.4376998
Africa,,1990,,5.033064,7.3153377,-23.876022,1.643908,,1.7386556,29.011345
Africa,,1991,,-2.7249157,0.7500887,8.225822,0.55167675,,5.9328437,2.0100474
Africa,,1992,,0.59370995,4.8886776,1.5748024,1.8994689,,-4.602027,3.7253737
Africa,,1993,,1.5000343,-2.0476937,-21.888458,0.8160591,,-2.0355642,11.332739
Africa,,1994,,2.6079535,4.649031,33.659542,3.5428166,170,1.6116858,-10.95233
Africa,,1995,,3.1330466,6.811869,16.541195,3.6744118,16.666662,3.772533,22.000004
Africa,,1996,,1.3829231,4.975307,4.1943192,2.1463394,12.698412,4.2623878,23.499847
Africa,,1997,,2.5438547,-2.0066857,7.4055314,2.9600263,1.4084458,2.4649024,10.217643
Africa,,1998,,-2.2919416,5.2397847,7.5432897,2.3445249,5.555558,4.388845,23.503483
Africa,,1999,,3.091836,0.9377718,-5.6172314,3.7441254,160.5263,6.045127,-0.9590626
Africa,,2000,,-0.23604035,10.476315,1.3476729,0.41189194,786.3637,6.467569,33.779263
Africa (BP),,2001,25.282646,1.2654662,13.974619,-17.609531,0.86438656,136.79771,7.458961,2.9214501
Africa (BP),,2002,12.297546,-4.252845,5.6676984,11.866772,3.2458663,6.7385316,5.140841,-2.0961523
Africa (BP),,2003,19.402622,8.842564,6.0991764,5.6042075,3.086102,20.743538,-2.8836489,14.695585
Africa (BP),,2004,22.471285,10.040176,10.057735,5.5446863,4.0461063,43.443226,5.625057,13.592493
Africa (BP),,2005,19.606007,-7.1561813,3.1559706,-15.506548,4.3118834,1.5751481,1.8553972,1.0346174
Africa (BP),,2006,29.025114,1.4459491,4.414618,-11.216629,1.1358619,9.249759,3.6151528,25.276386
Africa (BP),,2007,33.14861,1.6636252,6.713867,12.876522,3.6460161,19.195915,3.4212112,-16.66549
Africa (BP),,2008,43.92791,10.179949,3.898859,14.906776,5.1944375,29.083656,1.8578529,3.9893508
Africa (BP),,2009,31.887722,-0.40001273,0.6093621,-1.5226066,3.3496141,21.150887,2.6750565,9.038591
Africa (BP),,2010,125.47302,-0.9491384,4.2377234,5.6301713,4.2544603,43.75396,8.173227,5.665076
Africa (BP),,2011,178.67827,-1.5058517,8.136284,-4.6203794,-1.6297162,4.4612765,2.8338552,2.5027037
Africa (BP),,2012,64.869095,-2.5113225,8.132124,0.5071521,5.824673,5.410695,0.43016672,4.75899
Africa (BP),,2013,-20.665604,1.0437012,2.003467,8.780182,3.6452293,42.844807,5.7769537,9.668541
Africa (BP),,2014,141.79065,4.7467113,2.7847528,-2.211815,1.0319471,40.81389,5.4649115,23.206413
Africa (BP),,2015,71.131805,-5.47114,10.233534,-11.28751,2.60396,76.09799,-2.9554963,31.263638
Africa (BP),,2016,65.22681,6.0095787,3.4055114,22.791529,0.5357027,25.42659,-2.4817944,0.8671284
Africa (BP),,2017,44.377472,-0.10291934,5.7096004,-5.543727,1.0024786,11.462426,7.5922728,5.450654
Africa (BP),,2018,29.332388,-1.8114746,6.544006,-18.410486,1.0931969,18.55812,6.5365553,7.168007
Africa (BP),,2019,28.256166,5.819607,0.40032864,17.409325,0.20084381,30.890453,3.5791397,1.1048555
Africa (BP),,2020,24.541998,-5.962372,-0.88773966,2.5998354,-11.095458,10.1971035,4.9889445,-2.3786902
Africa (BP),,2021,2.8422475,0.9361267,7.021129,-25.271654,8.577072,14.613366,4.8134565,-0.49710274
