Entity,Code,Year,Gas (% direct primary energy),Wind (% direct primary energy),Hydro (% direct primary energy),Other renewables (% direct primary energy),Nuclear (% direct primary energy),Solar (% direct primary energy),Coal (% direct primary energy),Oil (% direct primary energy),Biofuels (% direct primary energy)
Africa,,1965,1.3867538,0,2.0205562,,0,,47.005558,49.587135,
Africa,,1966,1.4844301,0,2.1577976,,0,,44.95371,51.40406,
Africa,,1967,1.454268,0,2.2327197,,0,,45.54784,50.765175,
Africa,,1968,1.4021262,0,2.4842381,,0,,45.06032,51.05331,
Africa,,1969,1.605328,0,2.8401523,,0,,44.546555,51.00796,
Africa,,1970,1.852775,0,3.298447,,0,,43.066196,51.782585,
Africa,,1971,2.0423958,0,2.8866549,0.018198758,0,0,42.502125,52.550625,
Africa,,1972,2.5986829,0,3.121412,0.017380271,0,0,40.470837,53.791683,
Africa,,1973,3.8411074,0,3.0441663,0.0165097,0,0,39.711693,53.38652,
Africa,,1974,4.145858,0,3.3215556,0.016297163,0,0,39.639008,52.87729,
Africa,,1975,4.709195,0,3.311459,0.015100787,0,0,39.602734,52.361507,
Africa,,1976,4.931301,0,3.379994,0.01496015,0,0,38.902386,52.77136,
Africa,,1977,5.243876,0,3.5296786,0.014524868,0,0,37.78759,53.424335,
Africa,,1978,7.191976,0,3.420343,0.014403172,0,0,35.292618,54.080666,
Africa,,1979,10.078774,0,3.3562708,0.0136105595,0,0,34.34783,52.203514,
Africa,,1980,11.709724,0,3.0266206,0.012968067,0,0,34.05258,51.19811,
Africa,,1981,12.704097,0,2.790723,0.01212079,0,0,35.350384,49.14268,
Africa,,1982,12.826796,0,2.610043,0.012268798,0,0,36.45163,48.099262,
Africa,,1983,13.600824,0,2.268539,0.011531418,0,0,35.75973,48.35937,
Africa,,1984,12.658414,0,2.1668584,0.011396835,0.19116485,0,37.156498,47.815666,
Africa,,1985,13.102685,0,2.3236167,0.012640179,0.24974929,0,36.988544,47.322758,
Africa,,1986,14.450926,0,2.359291,0.030399092,0.4060747,0,37.15037,45.602936,
Africa,,1987,14.374849,0,2.1806226,0.029248942,0.27413103,0,36.81987,46.32128,
Africa,,1988,14.937767,0,2.233446,0.026087832,0.43728378,0,37.09643,45.268986,
Africa,,1989,15.484344,0,2.3458095,0.025718935,0.46264908,0,34.831898,46.849586,
Africa,,1990,16.040607,0,2.3038006,0.03202928,0.33996907,0,35.315826,45.96776,
Africa,,1991,16.229599,0,2.450852,0.032811917,0.36949778,0,34.499477,46.417763,
Africa,,1992,16.726257,0,2.2973046,0.03344098,0.36877388,0,34.099323,46.4749,
Africa,,1993,16.314476,0.000079072895,2.241025,0.037073325,0.28683692,0,34.464474,46.65604,
Africa,,1994,16.505327,0.00020639884,2.2014365,0.031915374,0.37063876,0,34.187588,46.70288,
Africa,,1995,16.94134,0.00023139719,2.195294,0.03741656,0.41508245,0,33.882107,46.52853,
Africa,,1996,17.362335,0.00025459455,2.2345676,0.045113187,0.4222325,0,33.535778,46.399723,
Africa,,1997,16.685375,0.00025319474,2.2454326,0.048762504,0.4447436,0,33.724804,46.850628,
Africa,,1998,17.326897,0.00026371854,2.3129117,0.059425127,0.47195208,0,32.515068,47.313484,
Africa,,1999,16.971344,0.0006667054,2.3800795,0.057111897,0.43224734,0,32.527504,47.631054,
Africa,,2000,18.366901,0.0057889046,2.482329,0.07484553,0.42913762,0.00039387643,31.788857,46.85175,
Africa,,2001,20.226925,0.013245238,2.5774355,0.074431635,0.34163266,0.00047680052,31.104418,45.66143,
Africa,,2002,21.062006,0.013931845,2.6704648,0.07181001,0.37660676,0.00052763626,29.347801,46.45686,
Africa,,2003,21.22769,0.015979512,2.4636004,0.0782389,0.3777986,0.0005984659,30.34348,45.492615,
Africa,,2004,21.793686,0.021382127,2.4274178,0.0829048,0.3719667,0.0006837244,31.147554,44.15441,
Africa,,2005,22.402763,0.021642875,2.4637983,0.083469234,0.31318697,0.0008149119,28.817316,45.897015,
Africa,,2006,22.93213,0.023180189,2.5027065,0.102512576,0.27259433,0.001030781,28.659576,45.50626,
Africa,,2007,23.579514,0.02662244,2.4939578,0.0823136,0.29647633,0.0013224296,28.074038,45.445747,
Africa,,2008,23.059898,0.032346766,2.3910868,0.08056979,0.32066196,0.0017915517,29.115164,44.998478,
Africa,,2009,22.833908,0.03856932,2.4162664,0.08646432,0.31079102,0.0023255097,28.540594,45.771088,
Africa,,2010,23.134409,0.053890847,2.5404916,0.088801764,0.3190874,0.005096429,27.477327,46.380894,
Africa,,2011,24.822182,0.055857357,2.5921729,0.09031647,0.301978,0.01409221,26.853128,45.270267,
Africa,,2012,25.805887,0.056609478,2.5029504,0.09096667,0.29180744,0.022337906,25.16942,46.060013,
Africa,,2013,25.641516,0.078770496,2.5790112,0.09717945,0.30921182,0.01726291,24.773792,46.503254,
Africa,,2014,25.691906,0.10812672,2.6514606,0.11671635,0.2947586,0.04068904,25.296291,45.800056,
Africa,,2015,27.637375,0.18581219,2.510978,0.14950746,0.2551749,0.06795085,23.33501,45.858185,
Africa,,2016,27.833223,0.22697961,2.384798,0.14687084,0.30516127,0.109344885,24.092184,44.901432,
Africa,,2017,28.771805,0.24740277,2.5091226,0.15145168,0.2818704,0.1543786,23.535213,44.34876,
Africa,,2018,30.007818,0.28712705,2.6167295,0.15888304,0.22512417,0.19544867,22.62128,43.887585,
Africa,,2019,29.594284,0.3691649,2.6623764,0.15779303,0.25963485,0.2462347,23.513737,43.196777,
Africa,,2020,31.278223,0.43380782,2.9807112,0.16426283,0.2840642,0.3270182,23.57926,40.952663,
Africa,,2021,31.55783,0.4687358,2.9453197,0.15408857,0.20012316,0.31705815,22.437387,41.91946,
Africa (BP),,1965,1.3867537,0,2.0205562,,0,,47.00555,49.58713,
Africa (BP),,1966,1.4844301,0,2.1577976,,0,,44.95371,51.40406,
Africa (BP),,1967,1.454268,0,2.2327197,,0,,45.54784,50.765175,
Africa (BP),,1968,1.402126,0,2.4842377,,0,,45.060326,51.05331,
Africa (BP),,1969,1.605328,0,2.840152,,0,,44.54656,51.007957,
Africa (BP),,1970,1.852775,0,3.2984474,,0,,43.066196,51.782585,
Africa (BP),,1971,2.042396,0,2.886655,0.018198758,0,0,42.502125,52.550625,
Africa (BP),,1972,2.5986829,0,3.121412,0.017380271,0,0,40.470837,53.791683,
Africa (BP),,1973,3.8411074,0,3.0441663,0.0165097,0,0,39.71169,53.386528,
Africa (BP),,1974,4.145858,0,3.3215556,0.016297163,0,0,39.63901,52.87729,
Africa (BP),,1975,4.709195,0,3.3114593,0.015100787,0,0,39.602734,52.361507,
Africa (BP),,1976,4.931301,0,3.379994,0.01496015,0,0,38.902386,52.77136,
Africa (BP),,1977,5.243876,0,3.5296786,0.014524868,0,0,37.78759,53.424335,
Africa (BP),,1978,7.191976,0,3.4203424,0.014403172,0,0,35.292614,54.080666,
Africa (BP),,1979,10.078774,0,3.3562708,0.0136105595,0,0,34.34783,52.203514,
Africa (BP),,1980,11.709724,0,3.0266204,0.012968067,0,0,34.05258,51.19811,
Africa (BP),,1981,12.704097,0,2.790723,0.012120789,0,0,35.35038,49.142677,
Africa (BP),,1982,12.826796,0,2.610043,0.012268798,0,0,36.45163,48.09926,
Africa (BP),,1983,13.600824,0,2.2685392,0.011531419,0,0,35.759735,48.359375,
Africa (BP),,1984,12.658414,0,2.1668584,0.011396835,0.19116485,0,37.156498,47.815666,
Africa (BP),,1985,13.102685,0,2.3236167,0.012640179,0.24974929,0,36.988544,47.322758,
Africa (BP),,1986,14.450926,0,2.3592913,0.030399092,0.4060747,0,37.15037,45.602936,
Africa (BP),,1987,14.374849,0,2.1806226,0.029248942,0.27413103,0,36.81987,46.32128,
Africa (BP),,1988,14.937767,0,2.2334461,0.026087832,0.43728378,0,37.09643,45.268986,
Africa (BP),,1989,15.484344,0,2.3458095,0.025718935,0.46264908,0,34.831898,46.849586,
Africa (BP),,1990,16.040607,0,2.3038006,0.03202928,0.33996907,0,35.315826,45.96776,0
Africa (BP),,1991,16.2296,0,2.4508524,0.03281192,0.3694978,0,34.499477,46.417767,0
Africa (BP),,1992,16.726257,0,2.2973046,0.03344098,0.36877388,0,34.099323,46.4749,0
Africa (BP),,1993,16.314476,0.000079072895,2.241025,0.037073325,0.28683692,0,34.46447,46.65604,0
Africa (BP),,1994,16.505327,0.00020639884,2.2014365,0.031915374,0.37063876,0,34.187588,46.70288,0
Africa (BP),,1995,16.94134,0.00023139719,2.1952937,0.03741656,0.41508245,0,33.882103,46.52853,0
Africa (BP),,1996,17.362335,0.00025459455,2.2345676,0.04511319,0.4222325,0,33.535778,46.399723,0
Africa (BP),,1997,16.685377,0.00025319474,2.2454329,0.04876251,0.4447436,0,33.724804,46.85063,0
Africa (BP),,1998,17.326897,0.00026371854,2.3129117,0.05942513,0.47195208,0,32.515068,47.313484,0
Africa (BP),,1999,16.971342,0.0006667054,2.3800795,0.057111897,0.43224734,0,32.527504,47.631058,0
Africa (BP),,2000,18.366901,0.0057889046,2.482329,0.07484553,0.42913762,0.00039387643,31.788857,46.85175,0
Africa (BP),,2001,20.226925,0.013245238,2.5774355,0.074431635,0.34163266,0.00047680052,31.104418,45.66143,0
Africa (BP),,2002,21.05876,0.013929696,2.6700532,0.071798936,0.37654868,0.00052755483,29.343277,46.449696,0.015415442
Africa (BP),,2003,21.224262,0.01597693,2.4632025,0.07822626,0.37773758,0.0005983693,30.33858,45.48527,0.016147632
Africa (BP),,2004,21.78982,0.021378336,2.4269874,0.0828901,0.37190074,0.00068360317,31.142035,44.146584,0.017718485
Africa (BP),,2005,22.401255,0.021641415,2.4636319,0.0834636,0.31316584,0.00081485696,28.815374,45.89392,0.0067355745
Africa (BP),,2006,22.93168,0.023179732,2.5026572,0.10251056,0.272589,0.0010307608,28.659014,45.505367,0.0019656955
Africa (BP),,2007,23.574629,0.026616925,2.4934413,0.08229654,0.2964149,0.0013221557,28.068224,45.43634,0.02072247
Africa (BP),,2008,23.056429,0.0323419,2.3907275,0.080557674,0.32061374,0.0017912823,29.110786,44.991714,0.0150417695
Africa (BP),,2009,22.832024,0.038566135,2.416067,0.08645718,0.31076536,0.0023253178,28.538237,45.767303,0.008256879
Africa (BP),,2010,23.133257,0.053888164,2.5403652,0.088797346,0.3190715,0.0050961752,27.47596,46.37858,0.00497269
Africa (BP),,2011,24.819248,0.055850763,2.591867,0.09030581,0.30194235,0.014090546,26.849964,45.26492,0.011810979
Africa (BP),,2012,25.802364,0.05660176,2.5026093,0.09095428,0.29176766,0.022334863,25.16599,46.053734,0.0136507545
Africa (BP),,2013,25.638208,0.07876034,2.5786788,0.09716692,0.30917197,0.017260684,24.770597,46.497257,0.012900437
Africa (BP),,2014,25.688786,0.108113594,2.6511388,0.116702184,0.2947228,0.0406841,25.293219,45.794495,0.012145545
Africa (BP),,2015,27.633259,0.1857845,2.510604,0.1494852,0.2551369,0.067940734,23.331537,45.851357,0.014896937
Africa (BP),,2016,27.829615,0.22695018,2.3844888,0.1468518,0.30512172,0.10933071,24.08906,44.89561,0.012972056
Africa (BP),,2017,28.768217,0.2473719,2.5088096,0.15143278,0.2818352,0.15435934,23.532278,44.343224,0.012482598
Africa (BP),,2018,30.002113,0.28707248,2.6162322,0.15885285,0.22508137,0.1954115,22.616982,43.879242,0.019014394
Africa (BP),,2019,29.589516,0.36910543,2.6619475,0.15776761,0.25959304,0.24619503,23.509949,43.18982,0.016110007
Africa (BP),,2020,31.271616,0.43371618,2.9800816,0.16422813,0.28400418,0.32694912,23.57428,40.94401,0.021123629
Africa (BP),,2021,31.5514,0.46864036,2.9447196,0.15405722,0.20008239,0.3169936,22.432817,41.910927,0.020363891
Algeria,DZA,1965,30.896244,0,1.6632121,0,0,0,3.3850522,64.0555,
Algeria,DZA,1966,26.492224,0,1.2183489,0,0,0,2.714138,69.575294,
Algeria,DZA,1967,27.28453,0,1.4938948,0,0,0,2.2035313,69.01805,
Algeria,DZA,1968,26.923353,0,1.9252337,0,0,0,2.187346,68.964066,
Algeria,DZA,1969,31.528574,0,1.099513,0,0,0,2.4795387,64.89237,
Algeria,DZA,1970,27.31562,0,1.6281228,0,0,0,2.7096736,68.34657,
Algeria,DZA,1971,28.26896,0,0.84426963,0,0,0,0.6843445,70.20242,
Algeria,DZA,1972,29.373577,0,1.1332642,0,0,0,0.53251964,68.96064,
Algeria,DZA,1973,34.49116,0,1.4523256,0,0,0,0.5165992,63.53991,
Algeria,DZA,1974,35.684875,0,0.8578385,0,0,0,0.38140154,63.075882,
Algeria,DZA,1975,40.858887,0,0.4704007,0,0,0,0.4002995,58.27041,
Algeria,DZA,1976,41.415234,0,0.47823453,0,0,0,0.67199934,57.43453,
Algeria,DZA,1977,40.02986,0,0.29993474,0,0,0,0.7910138,58.879192,
Algeria,DZA,1978,51.078777,0,0.2214894,0,0,0,0.3194143,48.38032,
Algeria,DZA,1979,55.09451,0,0.19666055,0,0,0,0.56589574,44.142933,
Algeria,DZA,1980,61.95439,0,0.14549366,0,0,0,0.4213768,37.47873,
Algeria,DZA,1981,66.32981,0,0.17065331,0,0,0,0.24402025,33.255516,
Algeria,DZA,1982,65.30249,0,0.19379005,0,0,0,3.9288197,30.5749,
Algeria,DZA,1983,65.327385,0,0.08687399,0,0,0,3.2030067,31.382736,
Algeria,DZA,1984,59.870537,0,0.17430764,0,0,0,3.7045703,36.2506,
Algeria,DZA,1985,58.922775,0,0.24747893,0,0,0,3.8405433,36.98921,
Algeria,DZA,1986,60.807472,0,0.09025229,0,0,0,3.7157044,35.38657,
Algeria,DZA,1987,60.623722,0,0.17558579,0,0,0,4.3296638,34.871025,
Algeria,DZA,1988,63.637943,0,0.05998747,0,0,0,3.7932568,32.508816,
Algeria,DZA,1989,61.586815,0,0.07619021,0,0,0,3.297361,35.03963,
Algeria,DZA,1990,61.99327,0,0.0428967,0,0,0,2.4353154,35.52851,
Algeria,DZA,1991,61.855244,0,0.09405446,0,0,0,2.5386355,35.51207,
Algeria,DZA,1992,62.203087,0,0.062219113,0,0,0,2.9380674,34.79663,
Algeria,DZA,1993,60.054237,0,0.11873363,0,0,0,2.5739768,37.253056,
Algeria,DZA,1994,62.390945,0,0.05504048,0,0,0,2.3908124,35.163204,
